地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
臺東縣政府,臺東縣私立倫比美語短期補習班,,,外語類,臺東市信義路361號(新增教室1間：臺東市信義路365號),2006-11-10,100
臺東縣政府,中國青年救國團臺東縣團務指導委員會私立附設文理技藝短期補習班,,ttntc@cyc.tw,文理類,臺東市長沙街396號1F、2F,2021-07-28,100
臺東縣政府,智基科技開發股份有限公司附設臺東縣私立志光文理補習班,,td343125@gmail.com,文理類,臺東市中山路323巷8號,1999-12-30,100
臺東縣政府,臺東縣私立學樂文理短期補習班,,,文理類,臺東市杭州街188號,1992-04-08,100
臺東縣政府,臺東縣私立啟思文理短期補習班,,a0936409538@gmail.com,文理類,臺東市永福路203號,2013-04-22,100
臺東縣政府,臺東縣私立吉尼爾美語短期補習班,,geniea520@hotmail.com,外語類,臺東市臨潼街105號,2002-03-07,100
臺東縣政府,臺東縣私立國際美語短期補習班,,,外語類,臺東市四維路三段21號7樓,1993-08-16,100
臺東縣政府,臺東縣私立仁愛文理短期補習班,,best323415@yahoo.com.tw,文理類,臺東市大同路236號2、3樓,1999-06-10,100
臺東縣政府,臺東縣私立愛兒堡文理短期補習班,,lovekid1105@gmail.com,文理類,臺東市知本康定街367號,2011-10-24,100
臺東縣政府,臺東縣私立蔡老師文理短期補習班,,m7619@ms17.hinet.net,文理類,臺東縣太麻里鄉太麻里街137號,2015-08-19,100
臺東縣政府,臺東縣私立美佳美語短期補習班,,julialeeny@yahoo.com.tw,外語類,臺東市正氣路298巷17號,2006-09-27,100
臺東縣政府,臺東縣私立精湛文理短期補習班,,,文理類,臺東市正氣北路339巷33號,2012-10-09,100
臺東縣政府,臺東縣私立精華才藝短期補習班,,mileslin221@yahoo.com.tw,文理類,臺東市鄭州街71號,2013-05-17,100
臺東縣政府,臺東縣私立賢儒短期補習班,,,文理類,台東縣太麻里鄉太麻里街482號,2004-09-15,100
臺東縣政府,臺東縣私立心耘學園文理短期補習班,,jill6608041211@gmail.com,文理類,臺東市信義路222號,2014-03-19,100
臺東縣政府,臺東縣私立椰林文理短期補習班,,,文理類,臺東市中華路2段271號,2010-04-30,100
臺東縣政府,臺東縣私立安辰文理短期補習班,,,文理類,臺東市長安街58號,2010-10-05,100
臺東縣政府,臺東縣私立建中文理短期補習班,,,外語類,臺東市正氣北路313號,2002-04-02,100
臺東縣政府,巨匠電腦股份有限公司臺東分公司附設電腦文理短期補習班,,ih_mailbox@pcschool.com.tw,外語類,臺東市新生路205號1.2樓,1998-12-17,100
臺東縣政府,臺東縣私立高見文理短期補習班,,,文理類,臺東市漢陽北路89號,2021-03-08,100
臺東縣政府,何嘉仁文教事業股份有限公司臺東分公司附設何家仁美語短期補習班 ,,hs3461@hess.com.tw,外語類,臺東市杭州街414號,2000-06-16,100
臺東縣政府,臺東縣私立小湯姆文理短期補習班,,,文理類,臺東市精誠路45號,2016-03-17,100
臺東縣政府,臺東縣私立宏奇文理短期補習班,,t56656332@yahoo.com.tw,外語類,臺東市台東市更生路437巷31號,2003-06-12,100
臺東縣政府,臺東縣私立YOYO友友創意教室短期補習班,,yoyo335290@gmail.com,其他類,臺東市漢中街87號1、2樓,2003-07-07,100
臺東縣政府,臺東縣私立史丹佛文理短期補習班,,chrystaltung@gmail.com,文理類,臺東市豐榮路193號,2009-06-30,100
臺東縣政府,臺東縣私立韻揚音樂文理短期補習班,,cdyyp@yahoo.com.tw,外語類,臺東市中華路二段111巷22弄13號1樓,2015-05-19,100
臺東縣政府,臺東縣私立翰中文理短期補習班,,a0921297310@gmail.com,文理類,臺東市漢中街176號,2007-02-09,100
臺東縣政府,臺東縣私立多元文理短期補習班,,,文理類,臺東市開封街632巷20弄4號,2002-03-07,100
臺東縣政府,臺東縣私立群青文理短期補習班,,,文理類,臺東市長安街76號,2018-10-04,100
臺東縣政府,臺東縣私立中正文理短期補習班,,a092177917@gmail.com,文理類,臺東市中正路392巷5號,2020-02-14,100
臺東縣政府,臺東縣私立方舟文理短期補習班,,,文理類,臺東市武昌街51號,2012-06-06,100
臺東縣政府,臺東縣私立漢忠文理短期補習班,,,文理類,臺東市漢中街215巷3號,2013-01-18,100
臺東縣政府,臺東縣私立筑音音樂學苑短期補習班,,,音樂、舞蹈類,臺東市仁二街66號,2013-07-10,100
臺東縣政府,臺東縣私立東台菁英文理短期補習班,,wang345792@gmail.com ,文理類,臺東市開封街818巷12號,2013-12-25,100
臺東縣政府,臺東縣私立品學文理短期補習班,,,文理類,臺東市杭州街299號,2013-09-25,100
臺東縣政府,臺東縣私立佳德英語短期補習班,,,外語類,臺東市傳廣路350號,2008-08-06,100
臺東縣政府,臺東縣私立多加文理短期補習班,,,文理類,臺東市四維路三段299號,2013-12-17,100
臺東縣政府,臺東縣私立華盛頓美語短期補習班,,,文理類,臺東市四維路三段328號,2016-12-01,100
臺東縣政府,臺東縣私立亞卓文理短期補習班,,chenshunhox@gmail.com,文理類,臺東市北平街3號,2010-01-12,100
臺東縣政府,臺東縣私立康乃爾美語短期補習班,,,文理類,臺東市中正路189號1、2樓,2012-07-06,100
臺東縣政府,臺東縣私立展陞文理短期補習班,,ginaq0013@gmail.com,文理類,臺東市吉福路48號1樓,2018-08-21,100
臺東縣政府,臺東縣私立卑南文理教室文理短期補習班,,,文理類,臺東市更生北路293巷7號,2019-03-05,100
臺東縣政府,臺東縣私立小荳芽藝術短期補習班,,,音樂、舞蹈類,臺東市臨海路262巷1號,2016-11-28,100
