課程名稱,上課地點,開放報名,開課日期,性質,職業分類
雲端技術應用實務(臺中) 第1期,臺中市,2022/02/14,2022/04/18,職前,科技與資訊技術
4017太陽光電應用技術(基礎)班第01期,臺中市,2022/01/17,2022/03/05,在職,建築與工程
AR_VR數位科技創意訓練班第01期,臺中市西區公益路155巷9號5樓,2022/01/12,2022/02/12,在職,科技與資訊技術
智慧機電整合實務培訓班,臺中市南屯區嶺東路1號,2021/12/16,2022/03/14,青年,行政與管理
跨平台網站設置與應用(臺中) 第1期,臺中市,2021/11/29,2022/02/07,職前,科技與資訊技術
4001 3D實體列印班第01期,臺中市,2021/11/22,2022/01/03,在職,科技與資訊技術
電腦網路工程實務(臺中) 第1期,臺中市,2021/11/10,2022/01/17,職前,科技與資訊技術
微晶片電子控制(物聯網與機器人應用)(臺中) 第1期,臺中市,2021/11/10,2022/01/17,職前,科技與資訊技術
電子商務網站建置(臺中) 第1期,臺中市,2021/11/09,2022/01/10,職前,科技與資訊技術
電商行銷與社群平台經營培訓班 第-期,臺中市,2021/11/09,2021/12/10,職前,行政與管理
機械產品開發設計暨3D列印實務班 第-期,臺中市,2021/11/09,2022/03/09,職前,建築與工程
3D列印暨矽膠模具與水泥製品材料製作技術應用班,40649臺中市北屯區大連路３段16號6樓之1(3D列印教室-瑞聯天下大樓（16號6樓）訓練教室),2021/11/04,2021/12/04,在職,科技與資訊技術
電腦製圖與3D列印人才培訓班 第-期,臺中市,2021/11/01,2022/03/11,職前,建築與工程
雲端網頁資料庫實務班,40360臺中市西區公益路155巷9號5樓(台中教學中心5F電腦教室),2021/10/27,2021/11/27,在職,科技與資訊技術
3D列印珠寶建模設計班,40454臺中市北區學士路255號10樓(康林國際股份有限公司附設職業訓練中心A03教室),2021/10/21,2021/12/05,在職,科技與資訊技術
綠能之公寓大廈事務人員班,40652臺中市北屯區昌平路１段95-8號4樓之3(台中市公寓大廈管理服務職業工會(401教室)),2021/10/14,2021/12/14,在職,行政與管理
