課程名稱,上課地點,開放報名,開課日期,性質,職業分類
網路行銷設計與影片創作(台南) 第03期,臺南市,2022/06/22,2022/08/19,職前,科技與資訊技術
工業機器人控制基礎第01期,臺南市,2022/02/18,2022/04/17,在職,科技與資訊技術
工業4.0人工智慧物聯網(AI＆IoT)第01期,臺南市,2022/02/18,2022/04/17,在職,科技與資訊技術
網路行銷實務第01期,臺南市,2022/02/18,2022/04/17,在職,行政與管理
3D列印珠寶建模設計班第01期,臺南市永康區中山東路430號2樓,2022/01/11,2022/03/06,在職,藝術與設計
物聯網系統設計實務班第01期,臺南市中西區赤嵌街41號2樓,2021/12/04,2022/02/08,在職,科技與資訊技術
Raspberry 單板電腦藍芽通訊設計班,70042臺南市中西區赤嵌街41號2樓(北訓-201教室),2021/11/04,2021/12/04,在職,科技與資訊技術
雲端技術及網路服務人才培訓班,臺南市仁德區二仁路一段60號,2021/11/01,2022/02/17,青年,科技與資訊技術
外語電子商務與行銷管理培訓班,臺南市仁德區二仁路一段60號(嘉南藥理大學),2021/11/01,2022/02/24,青年,行政與管理
機器人與遊戲設計專長培訓班,臺南市仁德區二仁路一段60號(嘉南藥理大學),2021/11/01,2022/03/01,青年,建築與工程
文創商品設計-雷雕與陶藝應用(夜間)第03期,臺南市,2021/10/15,2021/12/12,在職,藝術與設計
TIG氬氣鎢極電銲(夜間)第03期,臺南市,2021/10/15,2021/12/12,在職,科技與資訊技術
簡易家具設計及製作(夜間)第03期,臺南市,2021/10/15,2021/12/12,在職,藝術與設計
創意商品設計自造第03期,臺南市,2021/10/15,2021/12/12,在職,藝術與設計
機電整合控制(夜間)第03期,臺南市,2021/10/15,2021/12/12,在職,行政與管理
物聯網與人工智慧應用實務班第01期,臺南市永康區崑大路195號,2021/09/18,2022/01/03,在職,科技與資訊技術
跨域JAVA軟體工程師就業養成班-第二梯次,臺南市東區大學路一號(成大附工-唯農大樓3樓),2021/08/01,2022/01/18,青年,建築與工程
雲端應用與Python資料分析班第01期,臺南市永康區中山路94巷1-3號3樓 (B3教室),2021/07/20,2022/02/09,在職,科技與資訊技術
Arduino物聯網太陽能溫室自動控制實務班,70441臺南市北區開元路444號(蓮青樓)(電腦教室(1F)),2021/07/07,2021/09/25,在職,科技與資訊技術
POWER BI大數據管理應用班,70143臺南市東區長榮路１段225號B1(F教室),2021/06/30,2021/08/28,在職,科技與資訊技術
智慧生產線機器人工程師培訓,臺南市永康區崑大路195號,2021/05/21,2021/06/28,青年,建築與工程
Raspberry PI3 單板電腦智慧機械設計實務班,70042臺南市中西區赤嵌街41號2樓(北訓-201教室),2021/05/19,2021/09/25,在職,科技與資訊技術
工業設計與3D列印班 第01期,臺南市,2021/05/04,2021/09/09,職前,藝術與設計
五加二產業資料庫與大數據應用人才培訓班第二期,臺南市永康區中山東路430號,2021/05/01,2021/09/06,青年,科技與資訊技術
Excel VBA大數據資料分析自動化設計班,70101臺南市東區大學路1號(國立成功大學力行校區)(孫運璿綠建築科技大樓3F會議室(1)),2021/04/29,2021/09/25,在職,科技與資訊技術
雲端運算Python與大數據實務班 第01期,臺南市,2021/04/15,2021/11/17,職前,科技與資訊技術
互動網頁與物聯網APP商業應用設計班 第01期,臺南市,2021/04/08,2021/10/21,職前,科技與資訊技術
動畫遊戲新媒體人才培訓班,臺南市東區長榮路一段225號B1,2021/04/01,2021/06/28,青年,科技與資訊技術
電腦輔助智能工程與工業設計創客應用班 第01期,臺南市,2021/02/05,2021/07/09,職前,科技與資訊技術
勞動法令與就業服務人力仲介法令解析實務班第02期,臺南市東區林森路２段79號,2021/11/26,2021/12/31,在職,行政與管理
PowerPoint多媒體簡報實作班第02期,臺南市永康區中山東路430號,2022/12/16,2022/12/28,在職,科技與資訊技術
Excel試算表應用實務班第02期,臺南市中西區赤嵌街41號2樓,2022/12/01,2022/12/31,在職,科技與資訊技術
傳統整復推拿從業實務班第02期,臺南市安平區府前三街27號,2022/12/01,2022/12/31,在職,行政與管理
3D列印珠寶建模設計班第12期,臺南市中西區觀亭街76號,2022/11/30,2022/12/30,在職,藝術與設計
職業安全管理師抵充班第02期,臺南市善化區南科三路9號3樓,2022/11/29,2022/12/29,在職,行政與管理
Google Firebase雲端資料庫設計班第01期,臺南市中西區赤嵌街41號2樓,2022/11/29,2022/12/29,在職,科技與資訊技術
職業安全衛生管理員訓練班第02期,臺南市善化區南科三路9號3樓,2022/11/28,2022/12/28,在職,行政與管理
婚禮小物手工皂商品包裝設計班第01期,臺南市東區自由路１段187號1樓,2022/11/27,2022/12/27,在職,藝術與設計
光固化3D列印機DIY組裝開發實務班第02期,臺南市東區長榮路１段225號B1,2022/11/25,2022/12/25,在職,科技與資訊技術
勞動法令與就業服務人力仲介法令解析實務班第02期,臺南市歸仁區長大路１號,2022/11/24,2022/12/24,在職,行政與管理
FDM型3D列印機DIY組裝開發實務班第02期,臺南市東區長榮路１段225號B1,2022/11/24,2022/12/24,在職,科技與資訊技術
醫療器材法規實務策略解析B班第08期,臺南市永康區中山東路430號,2022/11/24,2022/12/24,在職,行政與管理
房地產買賣實務班第04期,臺南市永康區中山東路430號3樓3B教室,2022/11/24,2022/12/24,在職,行政與管理
房地合一稅2.0暨不動產物權租稅法規與實務班第01期,臺南市永康區中山東路430號,2022/11/22,2022/12/22,在職,行政與管理
共有不動產之分管、分割與處分班第01期,臺南市永康區中山東路430號,2022/11/20,2022/12/20,在職,行政與管理
