課程名稱,上課地點,開放報名,開課日期,性質,職業分類
數位行銷與工藝藝術商品設計班,20644基隆市七堵區南興路37號3樓(七堵教室),2021/11/26,2021/12/26,在職,藝術與設計
銲接(基隆) 第02期,基隆市,2021/05/03,2021/10/20,職前,藝術與設計
木作設計專員基礎訓練班第04期,基隆市仁愛區愛三路9號7樓之2,2022/11/24,2022/12/24,在職,行政與管理
西餐輕點技術能力訓練班第01期,基隆市仁愛區愛三路9號4樓之5,2022/11/04,2022/12/04,在職,餐飲業
工藝藝術商品創作班第07期,基隆市七堵區南興路37號3樓,2022/11/03,2022/12/03,在職,藝術與設計
Microsoft職場文書實務應用班第03期,基隆市仁愛區愛三路九號四樓之五,2022/11/03,2022/12/03,在職,行政與管理
家飾黏土蛋糕裝飾藝術班第01期,基隆市仁愛區仁五路8號10F之4,2022/10/15,2022/11/14,在職,藝術與設計
表演禮服設計製作班第02期,基隆市七堵區南興路37號3樓,2022/10/14,2022/11/13,在職,藝術與設計
拼布手作技能班,基隆市仁愛區孝二路39號4樓,2022/10/14,2022/11/13,在職,藝術與設計
照顧服務員培訓班 第02期,基隆市,2022/10/13,2022/11/03,職前,行政與管理
手做毛線製品編織班第01期,基隆市仁愛區仁五路8號10樓之4,2022/10/12,2022/11/11,在職,藝術與設計
茶與水果飲品調製應用班第01期,基隆市七堵區南興路37號3樓,2022/10/12,2022/11/11,在職,科技與資訊技術
咖啡烘焙與咖啡杯測應用班第01期,基隆市七堵區南興路37號3樓,2022/10/08,2022/11/07,在職,行政與管理
園藝盆栽組合應用班第01期,基隆市仁愛區愛三路37號7樓701教室,2022/10/07,2022/11/06,在職,行政與管理
美食技能實作班,基隆市安樂區安一路370巷22號2樓A棟,2022/10/07,2022/11/06,在職,行政與管理
產婦與嬰兒照護人員培訓班第05期,基隆市七堵區南興路37號3樓,2022/10/07,2022/11/06,在職,行政與管理
咖啡館飲料餐點實務班第01期,基隆市安樂區安和一街2巷12之1號2樓,2022/10/06,2022/11/05,在職,行政與管理
各地特色小吃饗食班,基隆市安樂區安一路370巷22號2樓A棟,2022/10/06,2022/11/05,在職,餐飲業
公主線立領外套車縫製作技能班第01期,基隆市七堵區南興路37號3樓,2022/10/05,2022/11/04,在職,藝術與設計
服裝打版實務班,基隆市仁愛區孝二路39號4樓,2022/09/22,2022/10/22,在職,藝術與設計
創作果凍花點心實作班第01期,基隆市安樂區安和一街2巷12之1號2樓,2022/09/17,2022/10/17,在職,餐飲業
西點烘焙專業技能班第01期,基隆市中山區復興路313號3樓,2022/09/15,2022/10/15,在職,餐飲業
中小企業財會與人事疑難排解訓練班第01期,基隆市仁愛區愛三路9號4樓之5 (電梯請至3樓),2022/09/12,2022/10/01,在職,行政與管理
111年度照顧服務員專班 第01期,基隆市,2022/09/03,2022/10/03,職前,行政與管理
