課程名稱,上課地點,開放報名,開課日期,性質,職業分類
太陽光電人才培訓班 第01期,屏東縣,2021/06/25,2021/10/21,職前,行政與管理
家事員養成班 第01期,屏東縣,2022/11/15,2022/12/15,職前,行政與管理
產後服務人員培訓班 第01期,屏東縣,2022/11/10,2022/12/08,職前,行政與管理
管家服務達人班 第01期,屏東縣,2022/11/08,2022/12/01,職前,行政與管理
腳底按摩調理員課程班第10期,屏東縣屏東市復興南路１段18巷8號,2022/10/27,2022/11/26,在職,藝術與設計
不動產經紀人進階訓練班第01期,屏東縣屏東市正陽街2-4號5樓,2022/10/22,2022/11/21,在職,行政與管理
時尚彩繪師訓練班第01期,屏東縣屏東市棒球路87號3樓,2022/10/20,2022/11/19,在職,藝術與設計
中餐烹調技能培訓班,屏東縣萬丹鄉萬壽路二段243號,2022/10/08,2022/11/07,在職,餐飲業
宴客料理製作班第02期,屏東縣屏東市忠孝路309-2號,2022/10/07,2022/11/06,在職,餐飲業
木器創意彩繪實作班第01期,屏東縣屏東市建興南路93-1號,2022/10/06,2022/11/05,在職,藝術與設計
布藝編織拼布實作班第01期,屏東縣屏東市建興南路93-1號,2022/10/06,2022/11/20,在職,藝術與設計
化妝品調配製作班第01期,屏東縣屏東市棒球路87號2樓,2022/10/06,2022/11/05,在職,行政與管理
時尚花藝設計應用班第01期,屏東縣屏東市建豐路105巷50號2樓,2022/10/02,2022/11/01,在職,藝術與設計
實用拼布班第01期,屏東縣屏東市信義路86號,2022/09/29,2022/10/29,在職,科技與資訊技術
傳統整復推拿技術員基本手法與刮痧拔罐經絡學職能班第01期,屏東縣屏東市龍華路376號,2022/09/23,2022/10/23,在職,行政與管理
傢飾彩繪班第01期,屏東縣屏東市信義路86號,2022/09/22,2022/10/22,在職,藝術與設計
不動產營業員進階訓練班第01期,屏東縣屏東市正陽街2-4號5樓,2022/09/18,2022/10/18,在職,行政與管理
品牌行銷實務班第01期,屏東縣屏東市信義路86號,2022/09/17,2022/10/20,在職,行政與管理
傳統整復推拿技術員課程班第19期,屏東縣屏東市復興南路１段18巷8號,2022/09/15,2022/10/15,在職,行政與管理
日語會話實務班第01期,屏東縣屏東市信義路86號,2022/09/14,2022/10/14,在職,藝術與設計
園藝與花藝應用班第02期,屏東縣屏東市信義路86號,2022/09/13,2022/10/13,在職,行政與管理
園藝技術應用班第01期,屏東縣屏東市信義路86號,2022/09/12,2022/10/12,在職,行政與管理
園藝栽培應用班第02期,屏東縣屏東市信義路86號,2022/09/07,2022/10/07,在職,行政與管理
全通路社群行銷人才培訓班 第01期,屏東縣,2022/09/07,2022/10/28,職前,行政與管理
科學傳播媒介整合技術JAVA開發實務訓練班第三梯次,屏東縣屏東市林森路1號,2022/09/07,2022/11/21,青年,科技與資訊技術
手工香皂實作班第01期,屏東縣屏東市棒球路87號2樓,2022/09/06,2022/10/06,在職,藝術與設計
新零售實戰人才培訓班 第01期,屏東縣,2022/09/06,2022/10/14,職前,科技與資訊技術
園藝繁殖技術班第02期,屏東縣屏東市信義路86號,2022/09/04,2022/10/04,在職,行政與管理
職場個人形象造型實務班第01期,屏東縣屏東市信義路86號,2022/08/30,2022/09/29,在職,行政與管理
清潔皂品實務班第02期,屏東縣屏東市信義路86號,2022/08/25,2022/09/24,在職,行政與管理
專業彩妝護膚班第01期,屏東縣屏東市棒球路87號2樓,2022/08/22,2022/09/21,在職,科技與資訊技術
子平八字姓名學班第02期,屏東縣屏東市信義路86號,2022/08/21,2022/09/20,在職,行政與管理
韓文會話進階班第01期,屏東縣屏東市信義路86號,2022/08/18,2022/09/17,在職,藝術與設計
商務越南語訓練班第01期,屏東縣屏東市信義路151號,2022/08/18,2022/11/26,在職,科技與資訊技術
傳統整復推拿技術員法規教育暨基礎職能班第01期,屏東縣屏東市龍華路376號,2022/08/18,2022/09/17,在職,行政與管理
丙種職業安全衛生業務主管暨急救人員實務班,屏東縣屏東市福建路3-7號5樓,2022/08/17,2022/09/16,在職,行政與管理
觀光與商務日語訓練班第01期,屏東縣屏東市信義路151號,2022/08/16,2022/09/15,在職,行政與管理
人力資源管理實務班第01期,屏東縣屏東市自由路736之1號4樓,2022/08/15,2022/09/14,在職,行政與管理
稅務會計實務應用班第01期,屏東縣屏東市自由路736之1號4樓,2022/08/15,2022/09/17,在職,行政與管理
髮藝設計實務班第01期,屏東縣屏東市棒球路87號2樓,2022/08/13,2022/09/12,在職,藝術與設計
犬隻基礎訓練暨照護班第01期,屏東縣內埔鄉學府路1號,2022/08/12,2022/10/01,在職,行政與管理
樂活手作烘焙班(高齡者專班) 第01期,屏東縣,2022/08/10,2022/09/30,職前,藝術與設計
職場實用日本語班第01期,屏東縣屏東市林森路1號,2022/08/09,2022/09/15,在職,行政與管理
辦公室套裝軟體實務應用班第01期,屏東縣屏東市林森路1號,2022/08/08,2022/09/07,在職,行政與管理
花藝創意設計班第01期,屏東縣屏東市建國路202號2樓,2022/08/07,2022/09/06,在職,藝術與設計
傢飾彩繪班第01期,屏東縣屏東市莊敬街１段142-1號,2022/08/07,2022/09/06,在職,藝術與設計
波西米亞風結繩編織藝術班第02期,屏東縣屏東市信義路86號,2022/08/07,2022/09/06,在職,藝術與設計
居家風水陽宅學班第01期,屏東縣屏東市信義路86號,2022/08/06,2022/09/05,在職,行政與管理
青草藥實務班第01期,屏東縣屏東市莊敬街１段142-1號,2022/08/05,2022/09/18,在職,行政與管理
皮件設計與打版實作班第01期,屏東縣屏東市自由路736之1號4樓,2022/08/05,2022/09/04,在職,藝術與設計
太陽光電設計訓練班第01期,屏東縣屏東市信義路86號,2022/08/05,2022/09/04,在職,建築與工程
中式麵食製作班第02期,屏東縣屏東市忠孝路309之2號,2022/08/04,2022/09/03,在職,餐飲業
女裝打版設計實作班第01期,屏東縣屏東市建國路202號,2022/08/03,2022/08/27,在職,藝術與設計
彩繪凝膠造型設計班第01期,屏東縣屏東市華正路95號2樓,2022/08/03,2022/08/21,在職,藝術與設計
青草藥皂品保健班第01期,屏東縣東港鎮興東路201號,2022/08/02,2022/09/01,在職,行政與管理
居家花藝與盆栽設計班第01期,屏東縣屏東市莊敬街一段142-1號,2022/08/02,2022/08/22,在職,藝術與設計
時尚緞帶繡創意實作班第01期,屏東縣屏東市建國路202號2樓,2022/08/01,2022/08/28,在職,藝術與設計
傳統整復推拿技術員課程班第19期,屏東縣屏東市復興南路１段18巷8號,2022/08/01,2022/08/20,在職,行政與管理
四季花藝應用班第01期,屏東縣屏東市莊敬街一段142-1號,2022/08/01,2022/08/20,在職,藝術與設計
芳療紓壓保健與行銷管理實務班第01期,屏東縣屏東市建興南路93-1號2樓,2022/07/31,2022/12/08,在職,行政與管理
花藝創意設計班第01期,屏東縣屏東市莊敬街一段142-1號,2022/07/31,2022/08/19,在職,藝術與設計
大型花飾應用設計班第01期,屏東縣屏東市莊敬街一段142-1號,2022/07/30,2022/08/17,在職,藝術與設計
