課程名稱,上課地點,開放報名,開課日期,性質,職業分類
網路行銷與社群小編培訓班,澎湖縣馬公市東文里新店路477號,2021/07/01,2021/10/04,青年,科技與資訊技術
智慧節能永續觀光人才推動班 第01期,澎湖縣,2022/09/30,2022/11/07,職前,行政與管理
婚禮新娘美甲沙龍彩繪設計班第01期,澎湖縣馬公市大賢街160號,2022/09/26,2022/10/26,在職,科技與資訊技術
室內配線暨太陽能光電設置實務班第01期,澎湖縣馬公市六合路300號,2022/08/29,2022/09/28,在職,行政與管理
異國料理班第01期,澎湖縣馬公市六合路300號,2022/08/23,2022/09/22,在職,藝術與設計
澎湖太陽能電廠建置運維培訓班第二梯次,澎湖縣馬公市六合路300號,2022/08/15,2022/10/25,青年,行政與管理
澎湖在地食材料理班 第01期,澎湖縣,2022/07/04,2022/08/15,職前,餐飲業
電能轉換器實作技術班第01期,澎湖縣馬公市六合路300號,2022/05/25,2022/11/12,在職,行政與管理
創意手作暨觀光文創商品設計班 第01期,澎湖縣,2022/05/17,2022/09/05,職前,藝術與設計
2022智慧觀光旅遊顧問人才養成班 第01期,澎湖縣,2022/03/21,2022/04/25,職前,行政與管理
BS19托育人員職前假日班 第01期,澎湖縣,2022/03/01,2022/05/21,職前,行政與管理
物件導向程式語言設計第一梯次,澎湖縣馬公市六合路300號,2022/03/01,2022/06/27,青年,科技與資訊技術
西式簡餐班第01期,澎湖縣馬公市六合路300號,2022/02/17,2022/03/17,在職,餐飲業
彩繪凝膠造型設計班第01期,澎湖縣馬公市大賢街160號,2022/02/10,2022/03/10,在職,藝術與設計
綠能實務人才培訓班,澎湖縣馬公市六合路300號,2021/06/21,2021/06/28,青年,行政與管理
民宿經營管家實務班 第01期,澎湖縣,2021/04/14,2021/09/13,職前,行政與管理
低碳旅遊國際行銷企劃,澎湖縣馬公市六合路300號,2021/01/01,2021/02/22,青年,行政與管理
2020社群媒體操作應用實戰班第01期,(880)澎湖縣馬公市大賢街160號(勞工育樂中心),2020/09/14,2020/10/26,青年,科技與資訊技術
物件導向程式語言設計,澎湖縣馬公市六合路300號,2020/08/25,2021/06/28,青年,科技與資訊技術
2020數位行銷人員實戰班 第01期,澎湖縣,2020/08/18,2020/11/11,職前,行政與管理
數位行銷實務人才培訓班,澎湖縣馬公市六合路300號,2020/08/13,2020/09/22,青年,行政與管理
嚮導人員訓練班 第01期,澎湖縣,2020/07/24,2020/09/08,職前,行政與管理
舒活早午餐料理班 第01期,澎湖縣,2020/07/15,2020/08/17,職前,餐飲業
2020 旅遊顧問與在地產業行銷人員培訓班 第01期,澎湖縣,2020/03/05,2020/03/30,職前,行政與管理
BS20托育人員職前假日班 第01期,澎湖縣,2020/02/10,2020/03/21,職前,行政與管理
澎湖解說人員培訓 第01期,澎湖縣,2019/08/05,2019/09/02,職前,行政與管理
創意養生月子餐人才培訓班 第01期,澎湖縣,2019/07/08,2019/08/19,職前,行政與管理
全方位門市服務專業人員培訓班(獎勵計畫) 第01期,澎湖縣,2019/03/12,2019/04/22,職前,行政與管理
咖啡調製與創意飲品實務 (獎勵計畫) 第01期,澎湖縣,2019/03/11,2019/04/01,職前,行政與管理
BS21托育人員職前假日班 第01期,澎湖縣,2019/02/11,2019/03/23,職前,行政與管理
