課程名稱,上課地點,開放報名,開課日期,性質,職業分類
咖啡調製與品評訓練班第01期,金門縣金城鎮珠浦西路12號三樓,2022/09/29,2022/10/29,在職,行政與管理
寶石翡翠鑑定訓練班第01期,金門縣金城鎮珠浦西路12號3樓,2022/09/01,2022/10/01,在職,科技與資訊技術
無人機基礎人才培育班第01期,金門縣金沙鎮德明路105號,2022/08/03,2022/09/03,在職,建築與工程
特色糕點手作A班,金門縣金沙鎮德明路105號,2022/08/01,2022/08/27,在職,餐飲業
特色糕點手作B班,金門縣金沙鎮德明路105號,2022/08/01,2022/08/27,在職,餐飲業
精緻西點蛋糕訓練班第01期,金門縣金城鎮珠浦西路12號三樓,2022/07/26,2022/08/13,在職,餐飲業
觀光休閒旅遊及城市導覽培訓班 第01期,金門縣,2022/07/25,2022/10/31,職前,行政與管理
觀光創意點心伴手禮訓練班 第01期,金門縣,2022/07/09,2022/10/28,職前,餐飲業
烘焙專業技術人員暨複合式咖啡調製培訓實務班 第01期,金門縣,2022/07/09,2022/08/26,職前,行政與管理
多媒體行銷(金門) 第02期,金門縣,2022/06/06,2022/08/26,職前,科技與資訊技術
國際行銷電商直播人才培訓班(金門2),金門縣金湖鎮中山路8-6號(風獅爺購物中心),2022/05/03,2022/05/25,青年,行政與管理
創意與行銷遙控無人機實務人才養成班,金門縣金城鎮民權路34號(金馬聯合服務中心1樓，學科)，北山古洋樓背包客棧(892金寧鄉古寧村北山46-5號) 之對面空地(術科),2022/04/19,2022/06/01,青年,行政與管理
挖掘機基礎訓練(金門)第01期,金門縣,2022/03/24,2022/07/29,在職,行政與管理
咖啡入門品評實務班第01期,金門縣金城鎮珠浦西路12號三樓,2022/03/17,2022/04/16,在職,行政與管理
多媒體網頁設計(假日班)(金門)第01期,金門縣,2022/03/14,2022/06/19,在職,科技與資訊技術
經典烘焙點心技能培訓班第01期,金門縣金沙鎮德明路105號,2022/03/10,2022/04/09,在職,餐飲業
觀光創意伴手禮訓練班 第01期,金門縣,2022/03/07,2022/04/22,職前,行政與管理
烘焙點心製作班第01期,金門縣金城鎮珠浦西路12號三樓,2022/01/24,2022/03/05,在職,餐飲業
觀光民宿經營暨精緻餐飲實務訓練班 第01期,金門縣,2022/01/07,2022/02/17,職前,行政與管理
多媒體行銷(金門) 第01期,金門縣,2021/12/22,2022/04/08,職前,科技與資訊技術
咖啡調製訓練班B班第02期,金門縣金城鎮珠浦西路12號三樓,2021/11/19,2021/12/19,在職,科技與資訊技術
咖啡調製訓練班A班第02期,金門縣金城鎮珠浦西路12號三樓,2021/11/18,2021/12/18,在職,科技與資訊技術
咖啡調製暨觀光烘焙伴手禮訓練班 第01期,金門縣,2021/09/27,2021/10/22,職前,餐飲業
全球數位行銷企劃人才養成班,金門縣金寧鄉北山2號3樓(國立清華大學金門教育中心之古寧頭活動中心)、金城鎮民權路34號(行政院金馬聯合服務中心),2021/09/26,2021/10/22,青年,行政與管理
創意精緻點心烘焙訓練班 第01期,金門縣,2021/07/15,2021/08/20,職前,餐飲業
國際行銷電商直播自媒體人才培訓班(金門),金門縣金湖鎮中山路8-6號(風獅爺購物中心),2021/05/27,2021/10/04,青年,餐飲業
電腦軟體應用丙級證照輔導(假日班)(金門農工)第01期,金門縣,2019/09/18,2020/01/04,在職,行政與管理
咖啡烘焙伴手禮訓練班 第01期,金門縣,2019/09/05,2019/11/29,職前,餐飲業
異國風味料理訓練班 第01期,金門縣,2019/09/04,2019/10/19,職前,餐飲業
烘焙麵包點心訓練班 第01期,金門縣,2019/03/28,2019/04/20,職前,餐飲業
