課程名稱,上課地點,開放報名,開課日期,性質,職業分類
雲端與SRE網站可靠性工程師班,臺北市士林區基河路130號4樓或5樓,2022/03/01,2022/05/02,青年,科技與資訊技術
PHP程式設計與資料庫實務班第02期,臺北市士林區基河路130號5樓,2022/01/11,2022/02/11,在職,科技與資訊技術
雲端與SRE網站可靠性工程師班,臺北市士林區基河路130號4樓或5樓,2021/11/30,2022/03/11,青年,科技與資訊技術
Python程式設計應用實務班,11162臺北市士林區基河路130號5樓(基河校區J509電腦教室),2021/11/03,2021/12/03,在職,科技與資訊技術
GCP 雲端架設實作入門班,10607臺北市大安區基隆路4段43號(國際大樓_612),2021/10/14,2021/11/13,在職,科技與資訊技術
AIoT智慧物聯網程式設計及技術應用實務班,臺北市士林區基河路130號4樓或5樓,2021/10/08,2021/11/15,青年,科技與資訊技術
居家綠能智慧水電應用實作初階班,10566臺北市松山區基隆路1段8號6樓之1(CEO教室)(CEO ROOM),2021/09/30,2021/10/30,在職,其他
Unity遊戲設計開發實作班,10659臺北市大安區建國南路２段231號(建國209教室),2021/09/30,2021/10/30,在職,藝術與設計
響應式網頁APP速成班,10607臺北市大安區基隆路四段43號(國際大樓11樓電腦教室),2021/09/24,2021/10/24,在職,其他
行動通訊電子商務實務班第04期,臺北市大安區復興南路１段390號6樓,2021/09/23,2022/02/12,在職,電子商務與網上交易
行動通訊電子商務實務班,10656臺北市大安區復興南路１段390號6樓(商業總會會議室),2021/09/23,2021/10/23,在職,電子商務與網上交易
AI人工智慧與自然語言處理班,10659臺北市大安區建國南路２段231號(建國204電腦教室),2021/09/17,2021/10/17,在職,其他
商業大數據分析人才養成班,臺北市中正區公園路30號3樓,2021/09/07,2021/11/01,青年,綜合商業與管理
Unity跨平台遊戲開發工程師養成班,臺北市大安區復興南路一段390號2樓(學術科上課地址一致),2021/09/07,2021/10/04,青年,建築與工程
APP Developer行動開發工程師養成班,臺北市大安區復興南路一段390號 2樓(學術科上課地址一致),2021/09/07,2021/11/08,青年,建築與工程
大數據商業應用人才培訓班 第02期,臺北市,2021/08/31,2021/11/05,職前,綜合商業與管理
電商社群經營與影音直播營銷實務班,"10543臺北市松山區民權東路３段140巷15號4樓 (第一,三教室)(民有活動中心第三教室)",2021/08/25,2021/09/25,在職,其他
Python機器學習程式設計班,10051臺北市中正區濟南路１段321號(臺北商業大學-行政大樓4樓401教室),2021/08/25,2021/09/25,在職,教育
跨境電商即戰班 第01期,臺北市,2021/08/20,2021/11/29,職前,其他
大數據資料科學家養成班,臺北市大同區承德路3段230號9樓華梵大學 台北承德中心,2021/08/15,2021/10/12,青年,科學與研究
Android APP程式開發實務班第12期,臺北市中正區博愛路80號3樓,2021/08/12,2021/12/12,在職,科技與資訊技術
Android APP程式開發實務班,10043臺北市中正區博愛路80號3樓(taipei301),2021/08/12,2021/11/14,在職,科技與資訊技術
Python AI影像辨識應用實務班,10452臺北市中山區中山北路３段40號(大同大學)(大同大學尚志樓612電腦教室),2021/08/05,2021/09/05,在職,科技與資訊技術
大數據科技行銷企劃應用培訓班(2),臺北市內湖區環山路一段56號,2021/07/25,2021/08/26,青年,其他
人工智慧與物聯網應用班,10087臺北市中正區汀州路３段58號,2021/07/07,2021/08/07,在職,其他
