課程名稱,上課地點,開放報名,開課日期,性質,職業分類
一般手工電銲操作人員訓練班第01期,新北市三重區重陽路1段89號3樓之5,2022/04/20,2022/05/20,在職,行政與管理
Python大數據資料探勘分析應用班第01期,新北市板橋區文化路一段313號,2022/01/12,2022/02/12,在職,科技與資訊技術
人工智慧與物聯網 ( AIoT ) (假日班)(泰山)第01期,新北市,2021/12/01,2022/03/19,在職,科技與資訊技術
物聯網應用設計 第01期,新北市,2021/11/25,2022/03/23,職前,科技與資訊技術
程式設計開發與雲端數據應用班 第01期,新北市,2021/11/24,2022/01/24,職前,科技與資訊技術
物聯網暨人工智慧養成班,新北市淡水區淡金路四段499號,2021/11/01,2022/03/21,青年,科技與資訊技術
氬氣鎢極電銲-基礎(泰山)第01期,新北市,2021/11/01,2022/02/08,在職,科技與資訊技術
3D列印文創飾品設計製作班,24143新北市三重區環河南路220-3號(新北市產職業聯合總工會-會議室),2021/09/16,2021/10/16,在職,藝術與設計
3D列印與矽膠翻模量化技術應用於客製化禮贈品製作班,23504新北市中和區中山路２段448號8F(109中和),2021/08/31,2021/10/16,在職,科技與資訊技術
機電整合(五股) 第02期,新北市,2021/08/16,2021/12/10,職前,行政與管理
電子商務數位轉型人才養成班,新北市板橋區文化路二段242號龍山寺文化廣場6樓 華梵大學新北板橋中心,2021/08/15,2022/01/11,青年,行政與管理
Arduino雲端物聯網智慧家庭實務應用班,22050新北市板橋區文化路一段313號(致理科技大學-圖書館505電腦教室),2021/08/04,2021/09/04,在職,科技與資訊技術
Python與Chatbot對話式商務應用班 第01期,新北市,2021/07/28,2021/12/06,職前,科技與資訊技術
電商X數位行銷設計培訓班 第01期,新北市,2021/07/07,2021/10/18,職前,科技與資訊技術
智動化與機器人(機械手臂精修班)(五股) 第02期,新北市,2021/06/15,2021/11/25,職前,建築與工程
智慧通訊聯網工程(電子應用)(泰山) 第02期,新北市,2021/05/27,2021/10/20,職前,科技與資訊技術
電腦機械設計(產訓班)(五股) 第01期,新北市,2021/05/24,2021/11/09,職前,建築與工程
物聯網應用設計(泰山) 第02期,新北市,2021/05/19,2021/11/02,職前,科技與資訊技術
網路架設實務應用(假日班)(泰山)第02期,新北市,2021/05/05,2021/11/20,在職,科技與資訊技術
遊戲引擎設計訓練班,新北市淡水區淡金路四段499號,2021/04/29,2021/07/12,青年,科技與資訊技術
機電整合智慧控制(產訓班)(五股) 第01期,新北市,2021/04/15,2021/10/13,職前,行政與管理
