課程名稱,上課地點,開放報名,開課日期,性質,職業分類
雲端網管與資安(幼獅) 第01期,桃園市,2022/01/13,2022/05/12,職前,行政與管理
工業機器人應用(週六)第02期,桃園市,2022/01/09,2022/05/28,在職,科技與資訊技術
C#程式與AR擴增實境應用班第01期,桃園市中壢區中北路200號,2021/12/09,2022/01/09,在職,科技與資訊技術
商業設計暨社群行銷培訓班 第01期,桃園市,2021/12/01,2022/05/23,職前,科技與資訊技術
工業設計與3D列印實務班 第01期,桃園市,2021/11/29,2022/01/18,職前,科技與資訊技術
社群媒體圖文插畫設計班,32041桃園市中壢區復興路46號12F(教室E),2021/11/26,2021/12/26,在職,藝術與設計
電腦軟體資料進階班 第01期,桃園市,2021/11/12,2022/07/25,職前,科技與資訊技術
半導體打線封裝產線基層人員班(產訓合作) 第01期,桃園市,2021/11/10,2022/03/21,職前,建築與工程
遊戲開發與系統維運(幼獅) 第01期,桃園市,2021/11/01,2022/03/24,職前,科技與資訊技術
銲接實務（手工電銲、氬銲與CO2銲接）(幼獅) 第01期,桃園市,2021/10/31,2022/03/08,職前,科技與資訊技術
資安與雲端架構工程師養成班(第二梯次),桃園市中壢區復興路46號8~9樓,2021/10/27,2021/12/22,青年,建築與工程
一般手工電銲實務班(週二五夜)第01期,桃園市,2021/10/16,2022/01/18,在職,藝術與設計
創意旗袍設計製作(週六)第01期,桃園市,2021/10/16,2022/01/15,在職,藝術與設計
多媒體特效後製(桃園) 第01期,桃園市,2021/10/01,2022/01/24,職前,藝術與設計
商品創意設計(桃園) 第01期,桃園市,2021/10/01,2022/01/24,職前,藝術與設計
視覺傳達設計(桃園) 第01期,桃園市,2021/10/01,2022/01/24,職前,藝術與設計
服裝樣版設計(桃園) 第01期,桃園市,2021/10/01,2022/01/24,職前,藝術與設計
物聯網開發與行動裝置應用(Android、Python、Embedded System)(幼獅) 第01期,桃園市,2021/10/01,2022/03/08,職前,科技與資訊技術
智慧節能水電自動控制(桃園) 第01期,桃園市,2021/10/01,2022/01/05,職前,行政與管理
智慧型機器人與圖控整合應用(桃園) 第01期,桃園市,2021/10/01,2022/01/07,職前,科技與資訊技術
電腦工業繪圖產品設計培訓班,桃園市桃園區民權路6號2樓 雙得統領大樓,2021/09/15,2022/03/23,青年,建築與工程
Java Web與大數據分析就業培訓班,桃園市桃園區民權路6號2樓 雙得統領大樓,2021/09/10,2021/11/24,青年,科技與資訊技術
AI應用與晶片設計實作班-第三梯,桃園市龜山區文化一路259號 長庚大學電機系,2021/09/02,2021/10/27,青年,科技與資訊技術
多媒體影音剪輯動畫特效應用班,33066桃園市桃園區復興路180號4樓(C教室),2021/09/02,2021/09/25,在職,科技與資訊技術
AR擴增實境互動APP開發實作班,33066桃園市桃園區復興路180號4樓(C教室),2021/09/02,2021/09/25,在職,科技與資訊技術
商業數位行銷設計應用班 第01期,桃園市,2021/08/23,2021/10/25,職前,科技與資訊技術
半導體打線封裝產線基層人員班(產訓合作) 第01期,桃園市,2021/08/17,2021/10/13,職前,建築與工程
綠建築室內空間設計實務班 第2梯,桃園市中壢區中央東路55號,2021/08/08,2021/11/17,青年,藝術與設計
人工智慧開發應用實務班,32097桃園市中壢區健行路(商學院C305教室),2021/08/05,2021/12/05,在職,科技與資訊技術
Python程式開發技術應用班第二梯次,桃園市中壢區健行路229號,2021/08/01,2022/03/18,青年,科技與資訊技術
跨域Java軟體工程師就業養成班-第四梯次,桃園市中壢區中大路300號(中央大學工程二館內),2021/07/27,2021/09/22,青年,建築與工程
Big Data 巨量資料分析就業養成班-第三梯次,桃園市中壢區中大路300號(中央大學工程二館內),2021/07/27,2021/11/02,青年,科技與資訊技術
C#程式與VR虛擬實境應用班,32023桃園市中壢區中北路(科學館B06電腦室),2021/07/15,2021/08/15,在職,科技與資訊技術
數據分析資料應用班 第02期,桃園市,2021/07/08,2021/10/08,職前,科技與資訊技術
數據分析資料應用班 第01期,桃園市,2021/07/08,2021/09/13,職前,科技與資訊技術
5G通訊發展下的電子封裝技術與材料實戰班第01期,桃園市大園區高鐵北路二段147號,2021/07/07,2022/01/08,在職,科技與資訊技術
5G通訊發展下的電子封裝技術與材料實戰班,33743桃園市大園區高鐵北路二段147號(401教室),2021/07/07,2021/08/07,在職,科技與資訊技術
Python股票演算法投資理財分析Fintech程式開發實作班,32097桃園市中壢區健行路229號(商學院106教室),2021/07/01,2021/08/01,在職,科技與資訊技術
3D電繪創意生活Maker(週六日)第03期,桃園市,2021/07/01,2021/09/25,在職,科技與資訊技術
Python程式設計實務班,32097桃園市中壢區健行路229號(商學院C108),2021/06/11,2021/09/12,在職,科技與資訊技術
綠色科技水電自動控制(桃園) 第02期,桃園市,2021/06/09,2021/10/05,職前,行政與管理
雲端網管與資安(幼獅) 第02期,桃園市,2021/06/09,2021/10/28,職前,行政與管理
手機程式開發與網頁資料庫應用(幼獅) 第01期,桃園市,2021/05/11,2021/10/26,職前,科技與資訊技術
Java程式與系統設計(幼獅) 第02期,桃園市,2021/05/05,2021/09/23,職前,科技與資訊技術
銲接實務（手工電銲、氬銲與CO2銲接）(幼獅) 第01期,桃園市,2021/05/03,2021/11/08,職前,科技與資訊技術
國際網路資安雙證照技能培訓班,桃園市龜山區萬壽路一段300號,2021/05/03,2021/12/15,青年,行政與管理
創意數位3D造型產品人才培訓班,桃園市平鎮區福龍路一段100號,2021/04/25,2021/11/01,青年,科技與資訊技術
跨平台網頁程式設計(幼獅) 第02期,桃園市,2021/04/15,2021/10/13,職前,科技與資訊技術
物聯網開發與行動裝置應用(幼獅) 第02期,桃園市,2021/03/31,2021/08/31,職前,科技與資訊技術
工業設計與3D列印整合實務班 第01期,桃園市,2021/03/19,2021/07/14,職前,科技與資訊技術
AI物件辨識應用班,桃園市中壢區中北路200號,2021/03/16,2022/02/21,青年,科技與資訊技術
綠建築室內空間設計實務班,桃園市中壢區中央東路55號,2021/03/01,2021/06/28,青年,藝術與設計
Apple app程式開發與網頁設計(幼獅) 第01期,桃園市,2021/02/22,2021/08/26,職前,科技與資訊技術
太陽光電設置技術人員培訓班(綠能據點) 第01期,桃園市,2021/02/06,2021/08/27,職前,行政與管理
影音剪輯暨數位行銷設計應用班 第01期,桃園市,2021/02/01,2021/06/29,職前,科技與資訊技術
物聯網人才菁英班,桃園市蘆竹區開南路1號,2021/02/01,2021/06/28,青年,科技與資訊技術
綠建築室內設計實作班(綠能據點) 第02期,桃園市,2021/01/28,2021/08/20,職前,行政與管理
節能空調及室內配線培訓班(綠能據點) 第01期,桃園市,2021/01/28,2021/08/06,職前,行政與管理
綠建築室內設計實作班(綠能據點) 第01期,桃園市,2021/01/28,2021/07/09,職前,建築與工程
影像視覺之人工智慧培訓班,桃園市中壢區中大路300號（國立中央大學資策會大樓電腦教室）,2020/11/02,2021/06/22,青年,科技與資訊技術
就業服務與人資人員法令實務班第04期,桃園市桃園區中山路468號7樓,2022/11/25,2022/12/25,在職,行政與管理
男女髮型技術養成班 第01期,桃園市,2022/11/22,2022/12/28,職前,藝術與設計
企業勞動法務管理實務與案例解析班第01期,桃園市桃園區復興路98號12樓,2022/11/17,2022/12/17,在職,行政與管理
數據分析與機器學習訓練班第01期,桃園市大園區高鐵北路二段147號,2022/11/17,2022/12/17,在職,科技與資訊技術
企業稅務會計管理實務班第01期,桃園市中壢區中北路200號,2022/11/13,2022/12/13,在職,行政與管理
商業影像處理技巧實務班第01期,桃園市桃園區縣府路332號11樓,2022/11/11,2022/12/11,在職,行政與管理
SolidWorks繪圖與3D列印實務班第02期,桃園市中壢區中北路200號,2022/11/10,2022/12/17,在職,科技與資訊技術
Podcast企劃與實作班第01期,桃園市中壢區遠東路135號,2022/11/04,2022/12/04,在職,科技與資訊技術
Premiere數位影音後製技巧實戰班第01期,桃園市中壢區中央東路19號2樓,2022/11/04,2022/12/04,在職,科技與資訊技術
美容師從業員培訓班第01期,桃園市桃園區民權路6號8樓之1,2022/11/04,2022/12/04,在職,行政與管理
牛仔連衣裙親子裝製作進階班第01期,桃園市桃園區經國路244號12樓,2022/11/04,2022/12/04,在職,藝術與設計
物聯網遠端遙控實務班第01期,桃園市中壢區復興路46號12F,2022/11/04,2022/12/04,在職,科技與資訊技術
製程改善方法與優化實務班第03期,桃園市桃園區中山路468號7樓,2022/11/03,2022/12/03,在職,行政與管理
勞動法令與常見勞資爭議問題處理實務班第01期,桃園市桃園區縣府路110號9樓,2022/11/03,2022/12/03,在職,行政與管理
響應式行動網頁前端Bootstrap框架設計班第01期,桃園市桃園區復興路180號4樓,2022/11/03,2022/12/17,在職,科技與資訊技術
品管資料處理暨文書應用人員班-桃園 第01期,桃園市,2022/11/02,2022/12/12,職前,行政與管理
泰語觀光旅遊會話基礎班第01期,桃園市蘆竹區南崁路265號6樓之6,2022/10/29,2022/11/29,在職,科技與資訊技術
