課程名稱,上課地點,開放報名,開課日期,性質,職業分類
長夾製作班,花蓮縣吉安鄉東里一街156號,2022/11/11,2022/12/11,在職,藝術與設計
皮雕實務應用班第01期,花蓮縣花蓮市富安路199號,2022/10/29,2022/11/28,在職,藝術與設計
花藝設計創藝班,花蓮縣玉里鎮民權街50號,2022/10/21,2022/11/20,在職,藝術與設計
產業新節能，綠能新技術-數位與3D應用專班,花蓮縣花蓮市公園路40-11號,2022/10/17,2022/10/31,青年,科技與資訊技術
經典烘焙麵包進階班,花蓮縣花蓮市中福路84號,2022/10/14,2022/11/13,在職,餐飲業
陽宅風水訓練班第02期,花蓮縣玉里鎮中山路１段35號,2022/10/13,2022/11/12,在職,行政與管理
米麵食伴手禮製作班第01期,花蓮縣花蓮市國盛二街85號,2022/10/04,2022/11/03,在職,餐飲業
漢方渲染手工皂及清潔品班,花蓮縣吉安鄉東里一街156號,2022/09/30,2022/10/30,在職,科技與資訊技術
新創意凝膠美甲班,花蓮縣吉安鄉東里一街156號,2022/09/17,2022/10/17,在職,科技與資訊技術
金工玉石鑲嵌班,花蓮縣吉安鄉東里一街156號,2022/09/15,2022/10/15,在職,藝術與設計
休閒精品包製作班,花蓮縣吉安鄉東里一街156號,2022/09/15,2022/10/15,在職,藝術與設計
創意手作伴手禮烘培班第01期,花蓮縣花蓮市國盛二街85號,2022/09/12,2022/10/12,在職,餐飲業
廟宇解籤訓練班第02期,花蓮縣玉里鎮中山路１段35號,2022/09/12,2022/10/01,在職,行政與管理
烘焙蛋糕實務技能班第01期,花蓮縣花蓮市國盛二街85號,2022/08/23,2022/09/22,在職,餐飲業
國際數位行銷人才培訓班（平日班）,花蓮縣花蓮市建國路二段880號,2022/08/22,2022/10/26,青年,行政與管理
寵物美容技能班第01期,花蓮縣花蓮市國盛二街85號,2022/08/21,2022/09/20,在職,行政與管理
皮件文創商品製作班第01期,花蓮縣花蓮市國盛二街85號,2022/08/17,2022/09/16,在職,藝術與設計
後背包製作班,花蓮縣吉安鄉東里一街156號,2022/08/17,2022/09/16,在職,藝術與設計
智慧無人機應用實務班,花蓮縣花蓮市華西路123號,2022/08/17,2022/09/18,在職,科技與資訊技術
手提包製作班,花蓮縣玉里鎮民權街50號,2022/08/16,2022/09/17,在職,藝術與設計
