課程名稱,上課地點,開放報名,開課日期,性質,職業分類
電腦影像美編設計(苗栗) 第01期,苗栗縣,2021/10/01,2022/01/24,職前,藝術與設計
電腦工業繪圖產品設計培訓班 第2梯,苗栗縣苗栗市新苗里中正路825號,2021/09/15,2022/04/11,青年,建築與工程
咖啡飲品實作訓練班第02期,苗栗縣苗栗市文發路833巷77號,2022/11/04,2022/12/04,在職,行政與管理
嬰幼兒活動與教具設計班第02期,苗栗縣竹南鎮中正路98號熱食部2樓保201教室,2022/10/27,2022/11/27,在職,藝術與設計
AutoCAD電腦輔助製圖班第04期,苗栗縣竹南鎮大營路211號,2022/10/15,2022/11/15,在職,科技與資訊技術
整體保養傳統整復保健進階班第05期,苗栗縣苗栗市文發路833巷77號4樓,2022/10/13,2022/11/13,在職,行政與管理
AutoCAD電腦輔助製圖班第03期,苗栗縣苗栗市文發路833巷77號,2022/10/08,2022/11/08,在職,科技與資訊技術
袋包商品複合媒材應用班 第-期,苗栗縣,2022/10/01,2022/10/17,職前,藝術與設計
數位轉型電商人才實作班第02期,苗栗縣苗栗市文發路833巷77號,2022/09/22,2022/10/22,在職,行政與管理
原民手感商品暨數位行銷技能訓練班 第01期,苗栗縣,2022/09/22,2022/10/17,職前,行政與管理
3D美睫造型美甲美膚班(新住民專班) 第01期,苗栗縣,2022/09/20,2022/11/09,職前,建築與工程
月子照護及月子餐人員班第02期,苗栗縣竹南鎮中正路98號熱食部2樓保201教室,2022/09/16,2022/10/16,在職,行政與管理
國際貿易操作人員實務初階訓練班第01期,苗栗縣苗栗市文發路833巷77號,2022/09/14,2022/12/06,在職,行政與管理
勞基法工作規則及請假規則解析班第01期,苗栗縣苗栗市建功里17鄰民族路55號,2022/09/14,2022/10/15,在職,行政與管理
時尚造型禮服打版車縫製作班 第01期,苗栗縣,2022/09/06,2022/10/31,職前,藝術與設計
時尚咖啡養身飲品調製班第01期,苗栗縣苗栗市府前路46號,2022/08/24,2022/09/24,在職,餐飲業
人力資源管理與發展實務訓練班第01期,苗栗縣苗栗市文發路833巷77號,2022/08/22,2022/12/07,在職,行政與管理
智慧採購與談判議價策略實務班第01期,苗栗縣苗栗市文發路833巷77號,2022/08/19,2022/09/18,在職,行政與管理
芳香照護實務技能應用班第01期,苗栗縣苗栗市府前路46號,2022/08/15,2022/09/15,在職,行政與管理
日式萌系創意拼布手作班第01期,苗栗縣苗栗市府前路46號,2022/08/13,2022/09/13,在職,藝術與設計
堆高機操作人員訓練班第17期,苗栗縣竹南鎮福德路1號,2022/08/13,2022/09/13,在職,行政與管理
手機攝影技巧與APP編修班第01期,苗栗縣頭份市中華路595號,2022/08/12,2022/09/12,在職,科技與資訊技術
複合式餐飲培訓班 第01期,苗栗縣,2022/08/09,2022/09/12,職前,餐飲業
客家文化藍染美學應用實作班第01期,苗栗縣苗栗市府前路46號,2022/08/07,2022/09/07,在職,藝術與設計
嬰幼兒按摩瑜珈班第02期,苗栗縣竹南鎮中正路98號熱食部2樓保201教室,2022/08/03,2022/09/03,在職,科技與資訊技術
景觀園藝創意實作班第01期,苗栗縣苗栗市府前路46號,2022/08/02,2022/09/02,在職,行政與管理
蠟藝商品實務班第01期,苗栗縣竹南鎮延平路58-1號2樓,2022/08/01,2022/08/28,在職,藝術與設計
皮革工藝創作實務班第02期,苗栗縣苗栗市府前路46號,2022/08/01,2022/08/21,在職,藝術與設計
實用手工皂和保養品應用班第02期,苗栗縣苗栗市府前路46號,2022/08/01,2022/08/20,在職,科技與資訊技術
企業人資、法務勞動法令實務應用訓練班第01期,苗栗縣苗栗市府前路46號,2022/07/31,2022/08/20,在職,行政與管理
表演人才標準舞訓練班第02期,苗栗縣苗栗市饒平街26號2樓,2022/07/31,2022/08/18,在職,行政與管理
標準舞訓練班第01期,苗栗縣頭份市中華路922號2樓之6,2022/07/30,2022/08/17,在職,科技與資訊技術
生活實用日語班第03期,苗栗縣苗栗市府前路46號2樓,2022/07/30,2022/08/16,在職,行政與管理
拉丁舞中級班第02期,苗栗縣頭份市中華路922號2樓之6,2022/07/30,2022/08/16,在職,科技與資訊技術
植萃皂與保養品調製班第02期,苗栗縣苗栗市府前路46號2樓,2022/07/30,2022/08/15,在職,科技與資訊技術
全方位國標舞訓練班第01期,苗栗縣苑裡鎮中山路312號,2022/07/29,2022/08/15,在職,藝術與設計
浪漫拉丁舞中級班第02期,苗栗縣頭份市中華路922號2樓之6,2022/07/27,2022/08/12,在職,科技與資訊技術
拉丁舞蹈訓練班第01期,苗栗縣苗栗市饒平街26號2樓,2022/07/27,2022/08/12,在職,科技與資訊技術
生活陶創意製作班第04期,苗栗縣苗栗市府前路46號2樓,2022/07/27,2022/08/12,在職,藝術與設計
手作布藝實務班第03期,苗栗縣苗栗市府前路46號2樓,2022/07/26,2022/08/11,在職,藝術與設計
全方位國標舞訓練班第01期,苗栗縣頭份市中華路922號2樓之6,2022/07/25,2022/08/06,在職,藝術與設計
運動舞蹈訓練中級班第02期,苗栗縣苗栗市饒平街26號2樓,2022/07/25,2022/08/06,在職,藝術與設計
全方位瑜珈實務應用班第01期,苗栗縣苗栗市饒平街26號2樓,2022/07/25,2022/08/03,在職,行政與管理
瑜珈從業人員實務班第02期,苗栗縣頭份市中華路922號2樓之6,2022/07/25,2022/08/02,在職,行政與管理
東方舞魅力實務班第02期,苗栗縣頭份市中華路922號2樓之6,2022/07/25,2022/08/05,在職,科技與資訊技術
流行MV舞表演創意班第01期,苗栗縣苗栗市饒平街26號2樓,2022/07/25,2022/08/12,在職,科技與資訊技術
肢體延展有氧樂活訓練班第01期,苗栗縣苗栗市中正路759號,2022/07/25,2022/08/04,在職,餐飲業
拉丁舞人才訓練班第01期,苗栗縣公館鄉通明街168巷1號,2022/07/25,2022/08/04,在職,建築與工程
瑜珈人才應用實務班第01期,苗栗縣苗栗市饒平街26號2樓,2022/07/25,2022/08/04,在職,行政與管理
有氧舞蹈樂活職能訓練班第01期,苗栗縣苗栗市饒平街26號2樓,2022/07/25,2022/08/04,在職,行政與管理
爆汗有氧瑜珈人才中級班第02期,苗栗縣頭份市中華路922號2樓之6,2022/07/25,2022/08/03,在職,建築與工程
樂活舞蹈訓練班第01期,苗栗縣竹南鎮龍昇街422 號,2022/07/25,2022/08/03,在職,藝術與設計
全方位瑜珈訓練班第01期,苗栗縣苗栗市饒平街26號2樓,2022/07/25,2022/08/02,在職,科技與資訊技術
活力瑜珈人才訓練班第01期,苗栗縣苗栗市饒平街26號2樓,2022/07/25,2022/08/01,在職,行政與管理
