課程名稱,上課地點,開放報名,開課日期,性質,職業分類
PYTHON程式設計班,雲林縣斗六市鎮南路1221號,2021/04/30,2021/07/13,青年,科技與資訊技術
綠能科技-智慧農業水電節能培訓班,雲林縣斗六市鎮南路1221號,2020/12/01,2022/06/27,青年,行政與管理
職場Excel基礎活用工作精進班第01期,雲林縣斗六市雲林路二段225號11樓,2022/10/30,2022/11/29,在職,行政與管理
績效導向制度設計與職務說明書撰寫技巧實務班第01期,雲林縣斗六市大學路３段123號,2022/10/27,2022/11/26,在職,行政與管理
社交舞蹈中階班第20期,雲林縣斗南鎮大同路150號,2022/10/26,2022/11/25,在職,科技與資訊技術
美睫職能技巧加強專業實務班第01期,雲林縣斗六市中華路100號2樓,2022/10/22,2022/11/21,在職,行政與管理
園藝作物栽培班第10期,雲林縣斗六市中華路100號4樓,2022/10/16,2022/11/15,在職,行政與管理
室內空間漆作第03期,雲林縣,2022/10/14,2022/12/11,在職,藝術與設計
人力資源管理應用班第01期,雲林縣斗六市嘉安五街71號,2022/10/11,2022/11/11,在職,行政與管理
歐法麵包甜點班第05期,雲林縣虎尾鎮林森路１段360巷128號,2022/10/07,2022/11/06,在職,餐飲業
園藝證照暨設施農業經營實務班 第01期,雲林縣,2022/10/04,2022/11/21,職前,行政與管理
品質管理基礎與實務應用班第01期,雲林縣斗六市雲林路二段225號11樓,2022/10/03,2022/11/02,在職,行政與管理
最新勞動法令解析與企業經營關係班第02期,雲林縣斗六市雲林路２段559號,2022/10/02,2022/11/01,在職,行政與管理
雲林景點特色意象布藝平車班第02期,雲林縣斗六市中華路100號4樓,2022/10/01,2022/10/31,在職,藝術與設計
多元服裝設計暨打版車縫技術培訓班 第01期,雲林縣,2022/09/22,2022/12/05,職前,藝術與設計
多元媒材香氛石設計製作班第01期,雲林縣斗六市中華路100號4樓,2022/09/18,2022/10/18,在職,藝術與設計
樂齡長照據點健康促進活動人才培訓班第01期,雲林縣斗六市中華路100號2樓,2022/09/16,2022/10/16,在職,行政與管理
台灣道地古早味小吃班第01期,雲林縣斗六市北平路29號2F,2022/09/15,2022/10/15,在職,餐飲業
翻玩咖啡及甜點製作班第04期,雲林縣虎尾鎮光明路171號,2022/09/15,2022/10/15,在職,藝術與設計
智慧農業植保機應用班第06期,雲林縣斗六市大學路三段123號,2022/09/15,2022/11/05,在職,行政與管理
肌膚管理班第01期,雲林縣斗六市中華路100號2樓,2022/09/12,2022/10/05,在職,行政與管理
品質管理發展提升班第01期,雲林縣斗六市雲林路二段225號11樓,2022/09/05,2022/10/05,在職,行政與管理
金屬工藝創意設計製作班第07期,雲林縣斗六市中華路100號4樓,2022/09/02,2022/10/02,在職,藝術與設計
植感園藝實務創作班第13期,雲林縣斗六市雲林路2段559號,2022/08/26,2022/09/25,在職,行政與管理
新南向跨境行銷人才培訓班,雲林縣斗六市民生路191號,2022/08/26,2022/12/27,青年,行政與管理
專業無人機農噴飛手訓練班,雲林縣斗六市鎮南路1221號,2022/08/26,2022/10/17,青年,行政與管理
倉儲及物流產業菁英專班,雲林縣斗六市鎮南路1221號,2022/08/26,2022/12/08,青年,行政與管理
生活傢俱彩繪創作實務班第17期,雲林縣虎尾鎮光明路175號,2022/08/25,2022/10/01,在職,藝術與設計
Python AI 人工智慧與機器學習應用班第03期,雲林縣斗六市大學路３段123號,2022/08/24,2022/09/24,在職,科技與資訊技術
創新物流與新零售菁英培養班,雲林縣斗六市鎮南路1221號,2022/08/23,2022/11/21,青年,科技與資訊技術
美好食光蛋糕班第08期,雲林縣虎尾鎮光明路171號,2022/08/22,2022/09/21,在職,餐飲業
創意拼布工藝應用班第19期,雲林縣虎尾鎮光明路173號,2022/08/21,2022/09/20,在職,藝術與設計
美睫社群店務行銷管理實務班第01期,雲林縣斗六市中華路100號2樓,2022/08/20,2022/09/19,在職,行政與管理
道教科儀應用與實務班第04期,雲林縣斗六市長安里萬年東路七二號二F,2022/08/19,2022/09/18,在職,藝術與設計
芳香精油手工皂與保養品製作班第03期,雲林縣斗六市中華路100號4樓,2022/08/19,2022/09/18,在職,藝術與設計
機電整合暨機器人工程師認證訓練班(第一期),雲林縣虎尾鎮文化路64號校本部一、學科教室(機械工程館二樓AME0218) 二、術科教室1.(機械工程館三樓AME0311) 2.(機械工程館二樓AME0216) 3.(機械工程館一樓AME0111) 4.(資訊大樓AIA201)5.(機械工程館二樓AME217),2022/08/19,2022/10/03,青年,建築與工程
EXCEL辦公室省時密技實務班第01期,雲林縣虎尾鎮文化路64號,2022/08/18,2022/11/05,在職,行政與管理
香癒舒心美體芳療班第08期,雲林縣斗六市雲林路２段559號,2022/08/18,2022/09/17,在職,藝術與設計
