地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
新竹市政府,新竹市私立光點學學文理短期補習班,文1417號,,文理類,新竹市東區學府路115號1樓及1樓夾層,2023-06-06,459
新竹市政府,新竹市私立李杜文理短期補習班,文1418號,,外語類,新竹市東區食品路355號2樓,2023-06-06,459
新竹市政府,維圓文化有限公司附設新竹市私立維圓美語文理技藝短期補習班,文1416號,,文理類,新竹市東區自由路113號3樓,2023-06-06,459
新竹市政府,新竹市私立喬喬文理技藝短期補習班,文1420,,文理類,新竹市東區南大路878巷82弄43號1-3樓,2023-06-20,459
新竹市政府,慧思科研股份有限公司附設新竹市私立慧思科研技藝短期補習班,文1423號,,文理類,新竹市東區關東路145號1樓至2樓,2023-07-07,459
新竹市政府,新竹市私立新源興文理短期補習班,文485號(換),new5621556@gmail.com,文理類,新竹市南大路421之2號1樓,2007-04-11,459
新竹市政府,新竹市私立飛鳳舞蹈短期補習班,文079號,pco210_ms61@yahoo.com.tw,音樂、舞蹈類,新竹市北門街172號2樓,1983-08-16,459
新竹市政府,陳立教育事業股份有限公司附設新竹市私立中正文理短期補習班,文784號(換)，文1308(換),hrdata@chenliedu.com,文理類,新竹市東區民族路31號6樓、7樓 ,1998-03-05,459
新竹市政府,新竹市私立奎豆文理短期補習班,文811號,cradle.edu.tw@gmail.com,文理類,新竹市新莊街70、72號1樓至2樓、新竹市新莊街62號1樓至2樓,2013-01-18,459
新竹市政府,新竹市私立毅啟文理短期補習班,文1427,,文理類,新竹市東區綠水路53號1樓,2023-07-21,459
新竹市政府,新竹市私立風雲文理短期補習班,文1424文號,,文理類,新竹市北區榮濱路21號2樓之2,2023-07-07,459
新竹市政府,新竹市私立家偉文理技藝短期補習班,文1309號,kerrylee626@gmail.com,文理類,新竹市東區關新路18號1-3樓,2021-11-29,459
新竹市政府,新竹市私立凱特文理技藝短期補習班,文1410號(換),liyuline@gmail.com,文理類,新竹市東區關東路147號1樓及2樓,2021-03-22,459
新竹市政府,新竹市私立嘉德琳文理短期補習班,文1174號,cadalin.cramschool@gmail.com,外語類,新竹市埔頂二路165號1樓及夾層,2019-09-11,459
新竹市政府,新竹市私立親仁文理短期補習班,文805號,rosita.fu1122@gmail.com,文理類,新竹市東區世界街36號及38號1樓至2樓,2012-11-29,459
新竹市政府,新竹市私立親仁科園文理短期補習班,文790號,kinderland5787222@gmail.com,文理類,新竹市東區關新西街49號4樓,2012-08-30,459
新竹市政府,新竹市私立丹尼爾文理技藝短期補習班,文1091號,,文理類,新竹市東區關東路56號3樓,2018-08-15,459
新竹市政府,新竹市私立竹科芝麻街美語文理短期補習班,文1404號(換),chuke@sesamevillage.tw,文理類,新竹市關新路51號2-3樓,2003-07-29,459
新竹市政府,新竹市私立貝洱文理短期補習班,文1090號,anne6ch@gmail.com,文理類,新竹市民主路146號2樓之2,2018-05-31,459
新竹市政府,北儒科技文教有限公司附設新竹市私立宏泰物理短期補習班,文1259號(換),maxc32@yahoo.com.tw,文理類,新竹市東區民族路31號5樓,2007-09-13,459
新竹市政府,新竹市私立莊老師文理短期補習班,文1070(換),,文理類,新竹市光華北街11號1樓,2010-08-09,459
新竹市政府,新竹市私立冠偉文理短期補習班,文1013,jason81709@gmail.com,文理類,新竹市中央路162巷1號二樓之2、之3號,2017-01-04,459
新竹市政府,新竹市私立安妮英語文理短期補習班,文785號（換）,bxh-997@yahoo.com.tw,文理類,新竹市西大路668號1樓及2樓,2003-07-04,459
新竹市政府,新竹市私立思達文理短期補習班,文718號,100/07/06 申設,文理類,新竹市民族路36號2樓,2011-08-02,459
