地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
臺北市政府,臺北市私立弘新語文短期補習班,4173,kfhmivy@yahoo.com.tw,外語類,松山區光復南路46巷23號1樓,2002-06-01,2611
臺北市政府,臺北市私立佑威文理短期補習班劍潭分班,5820,joanwang1114@gmail.com,文理類,士林區承德路4段10巷21號1樓,2007-03-01,2611
臺北市政府,臺北市私立達倫文理短期補習班,7614,elly750721@hotmail.com,文理類,信義區忠孝東路5段482號3樓及3樓之3,2017-06-09,2611
臺北市政府,臺北市私立思躍軟實力文理短期補習班,8288,contact@ascenttaiwan.com,文理類,士林區中山北路7段55號2樓,2023-05-23,2611
臺北市政府,臺北市私立日愛哈佛文理短期補習班,6883,lulu046kimo@yahoo.com.tw,文理類,大安區辛亥路1段79號2樓,1976-07-01,2611
臺北市政府,臺北市私立艾力美語短期補習班,4557,finance@alexeducationgroup.com,外語類,信義區忠孝東路4段559巷1號1、2樓,2003-07-01,2611
臺北市政府,葆體國際有限公司附設臺北市私立葆體瑜珈短期補習班松江分班,6690,service@bodhiyoga.com.tw,瑜珈類,中山區松江路59號3樓,2010-12-01,2611
臺北市政府,葆體國際有限公司附設臺北市私立葆體瑜珈短期補習班古亭分班,6693,service@bodhiyoga.com.tw,瑜珈類,中正區羅斯福路2段136號9樓,2010-12-01,2611
臺北市政府,葆體國際有限公司附設臺北市私立葆體瑜珈美術短期補習班全人分班,6773,service@bodhiyoga.com.tw,美術、書法、攝影、美工設計、圍棋類,中正區羅斯福路2段136號5樓,2011-04-01,2611
臺北市政府,臺北市私立康禾文理短期補習班,6208,,文理類,大安區和平東路2段32號2樓,2008-10-01,2611
臺北市政府,吉的堡網路科技股份有限公司附設臺北市私立陞緯文理短期補習班,6075,,文理類,中山區新生北路3段34號1樓(含夾層),2008-04-10,2611
臺北市政府,臺北市私立偉恩文理技藝短期補習班,6139,andrew.leeu2011@gmail.com,文理類,中山區北安路595巷20弄6號1樓,2008-07-01,2611
臺北市政府,臺北市私立易果文理短期補習班,7037,andrew.leeu2011@gmail.com,文理類,中山區北安路595巷22號1樓,2012-09-26,2611
臺北市政府,臺北市私立昕格技藝文理短期補習班,7723,hsiu121788@gmail.com,文理類,中山區龍江路281巷2號,2018-05-01,2611
臺北市政府,臺北市私立馬老師文理補習班,4296,hsiu121788@gmail.com,文理類,中山區錦州街329號1樓,2002-10-01,2611
臺北市政府,美加文化實業股份有限公司附設臺北市私立策展學習空間文理技藝短期補習班,8314,anita@merica.com.tw,文理類,士林區天母東路69巷1號1樓,2023-07-24,2611
臺北市政府,雲門國際事業股份有限公司附設臺北市私立石牌舞蹈短期補習班,5437,service_cgds@cgds.com.tw,音樂、舞蹈類,北投區石牌路2段99巷9號2樓、3樓,2005-12-01,2611
臺北市政府,臺北市私立安德信語文資訊短期補習班,3569,joydz4700@gmail.com,外語類,中山區北安路554巷21號1樓、地下1樓,2000-01-01,2611
臺北市政府,臺北市私立愛心文理短期補習班,4300,fbba@ms45.hinet.net,文理類,萬華區貴陽街2段94號6樓,2002-10-01,2611
臺北市政府,笛飛兒顧問有限公司附設臺北市私立笛寶寶文理短期補習班,7051,kiddeveloping@gmail.com,文理類,南港區玉成街140巷27號2樓,2012-10-23,2611
臺北市政府,臺北市私立大江文理短期補習班,4920,jcbt7984@gmail.com,文理類,中正區信義路2段271號6樓,2004-07-01,2611
臺北市政府,宏偉文教有限公司附設臺北市私立宏韋文理短期補習班,7896,hwu0412@gmail.com,文理類,信義區永吉路119號1樓,2019-12-16,2611
臺北市政府,臺北市私立關芯文理短期補習班,7921,wee.care@msa.hinet.net,文理類,松山區敦化北路143號2樓,2020-03-20,2611
臺北市政府,臺北市私立金智語文短期補習班,5723,service@jinzhi.com.tw,文理類,信義區莊敬路391巷2弄7號1樓,2006-09-01,2611
臺北市政府,臺北市私立快樂地文理短期補習班,7426,edgedonna@gmail.com,文理類,松山區延壽街328號1樓,2015-08-24,2611
臺北市政府,臺北市私立晶華文理珠算短期補習班,2999,ginhua23018348@yahoo.com.tw ,文理類,萬華區萬大路323號1樓、323號地下1樓、317巷1號1樓,1976-07-01,2611
臺北市政府,臺北市私立誠學書房文理短期補習班,7546,,文理類,中正區羅斯福路1段28號10樓,2016-08-01,2611
臺北市政府,薪哲文教股份有限公司附設臺北市私立薪哲文理短期補習班,2864,hsinjer3636@gmail.com,文理類,中正區許昌街17號12樓之1,1994-05-01,2611
臺北市政府,大黑天音樂有限公司附設臺北市私立那球音樂技藝短期補習班,8301,theballcorp@gmail.com,音樂、舞蹈類,信義區基隆路1段163號8樓之1,2023-06-17,2611
臺北市政府,臺北市私立毅佳文理技藝短期補習班,8304,w912shya@yahoo.com.tw,文理類,信義區永吉路187巷17號1樓,2023-06-20,2611
臺北市政府,臺北市私立樂學一百文理短期補習班,8313,morehappy@gmail.com,文理類,文山區保儀路26巷1號2樓之3,2023-07-20,2611
臺北市政府,臺北市私立劍橋卓越文理短期補習班,8125,shihhao0131@gmail.com,文理類,士林區通河街40號1樓,2021-12-16,2611
臺北市政府,臺北市私立詠勝文理珠算短期補習班,2973,,商類：珠算、心算、會計,士林區前港街96號1樓,1995-12-01,2611
臺北市政府,臺北市私立德聖特文理短期補習班,8129,crane980580@yahoo.com,文理類,北投區中央北路1段94號2樓,2022-01-04,2611
臺北市政府,臺北市私立耕福文理短期補習班一分班,8302,,文理類,南港區東新街128號1樓、130號1樓,2023-06-17,2611
臺北市政府,永翔教育顧問有限公司附設臺北市私立恩愛悌文理短期補習班臺大分班,5876,mikakayewang@mitenglish.com.tw,外語類,大安區羅斯福路3段253號3樓之1,2007-06-01,2611
臺北市政府,優尼克技藝補習班,6750,,音樂、舞蹈類,萬華區萬大路382號2樓,2011-03-01,2611
臺北市政府,臺北市私立仕揚文理短期補習班,5227,elle.c0916@msa.hinet.net,文理類,士林區天母東路33號1樓、31號2樓,2005-05-01,2611
臺北市政府,臺北市私立聖賢文理補習班,5562,sulinejane@gmail.com,文理類,松山區復興北路361巷22號1樓,2006-04-01,2611
臺北市政府,臺北市私立譯子翁文理技藝短期補習班,8211,easyown001@gmail.com,文理類,信義區光復南路419巷10號1樓及2樓,2022-10-07,2611
臺北市政府,臺北市私立御禾語文文理短期補習班,7227,gleeacademytw@gmail.com,文理類,大安區延吉街131巷3號2樓,2014-01-22,2611
臺北市政府,臺北市私立科箭語文文理短期補習班,2412,manager5a@kojen-els.com.tw,文理類,大安區羅斯福路3段333巷9、11號3、4樓,1990-12-24,2611
臺北市政府,譜卡文化事業有限公司附設臺北市私立成功打擊樂音樂技藝短期補習班,5926,success@mail.jpg.org.tw,音樂、舞蹈類,內湖區成功路4段70號3樓,2007-08-03,2611
臺北市政府,臺北巿私立成實成臻文理短期補習班 ,3474,,文理類,北投區石牌路1段71巷6號1樓,1999-07-01,2611
臺北市政府,臺北市私立成實文理短期補習班,2751,honest8566@gmail.com,文理類,北投區實踐街56巷9號1樓、7號1樓,1993-07-01,2611
臺北市政府,臺北市私立成實學霸文理短期補習班,4376,Honest8566@yahoo.com.tw,文理類,北投區實踐街56巷11號1樓、石牌路1段39巷36弄1號1樓,2002-12-01,2611
臺北市政府,新視界國際文教顧問有限公司附設臺北市私立小字神文理短期補習班,7166,,文理類,中正區許昌街17號13樓之1,2013-08-07,2611
臺北市政府,臺北市私立凱斯文理短期補習班大直分班,7128,cats-dz@catsedugroup.com.tw,外語類,中山區明水路565號(1層),2013-04-24,2611
