地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
苗栗縣政府,苗栗縣私立至聖文理短期補習班,413,,文理類,苗栗縣苗栗市玉清里13鄰育英街62號2-3F,2013-11-12,300
苗栗縣政府,苗栗縣私立家佳文理短期補習班,197,hui770705@gmail.com,文理類,苗栗縣頭份市建國路61號1樓,2008-12-31,300
苗栗縣政府,苗栗縣私立睿智文理短期補習班,223,dorissaysg@gmail.com,外語類,苗栗縣苗栗市建功里16鄰縣府路162號1-2F,2009-06-30,300
苗栗縣政府,苗栗縣私立聖佑美語技藝短期補習班,575,tomastomas5116@gmail.com,外語類,苗栗縣苗栗市正發路56號,2000-08-07,300
苗栗縣政府,苗栗縣私立木木文理技藝短期補習班,,wooood0531@gmail.com,文理類,苗栗縣頭份市頭份里中正路233號1樓,2019-05-07,300
苗栗縣政府,苗栗縣私立快樂文理短期補習班,,daisyyy.wei@gmail.com,文理類,苗栗縣竹南鎮新南里8鄰新南街71巷1號1-4F,2004-11-19,300
苗栗縣政府,苗栗縣私立育昇珠心算技藝短期補習班,207,yusheng9522edu@yahoo.com.tw,文理類,苗栗縣竹南鎮照南路122號1-3F,2009-03-21,300
苗栗縣政府,苗栗縣私立華盛頓文理短期補習班,451,reno1223@yahoo.com.tw,文理類,苗栗縣後龍鎮北龍里中華路58之1號1~2F,2006-07-18,300
苗栗縣政府,苗栗縣私立鼓動音樂技藝短期補習班,200,sofia1192@gmail.com,音樂、舞蹈類,苗栗縣頭份市中華路1192號3F,2009-01-19,300
苗栗縣政府,苗栗縣私立ABC ZONE文理技藝短期補習班,,abczone2019@gmail.com,文理類,苗栗縣苗栗市建功里6鄰中山路207號,2019-04-25,300
苗栗縣政府,苗栗縣私立勤曜文理短期補習班,108,love622718@gmail.com,文理類,苗栗縣苗栗市蕉嶺街58號1-2F,2007-01-11,300
苗栗縣政府,苗栗縣私立維多利亞文理短期補習班,,victoria277568@yahoo.com.tw,外語類,苗栗縣苗栗市中華東街2號3樓,2001-10-16,300
苗栗縣政府,苗栗縣私立中大文理短期補習班,251,cpchen0505@yahoo.com.tw,文理類,苗栗縣頭份市蟠桃里信一街3號1樓,2010-02-22,300
苗栗縣政府,智基科技開發股份有限公司附設苗栗縣私立志光法商文理短期補習班（竹南班）,442,ck.v460135@gmail.com,文理類,苗栗縣竹南鎮光復路86號1~2F,2014-12-31,300
苗栗縣政府,苗栗縣私立多倫多文理短期補習班,352,,文理類,苗栗 縣卓蘭鎮上新里卓坪路27號1-2樓,2012-04-08,300
苗栗縣政府,苗栗縣私立樹人資優文理短期補習班,,leemike6666@gmail.com,文理類,苗栗縣頭份市中正一路158號1-2樓,2017-06-21,300
苗栗縣政府,苗栗縣私立勝琥美語珠心算技藝短期補習班,282,luckshaw@yahoo.com.tw,外語類,苗栗縣頭份市土牛里7鄰興隆路16號1F,2011-01-17,300
苗栗縣政府,苗栗縣私立新北聯文理短期補習班,565,,文理類,苗栗縣苗栗市建功里新都街69號1-3樓,2000-01-17,300
苗栗縣政府,智基科技開發股份有限公司附設苗栗縣私立志光法商文理短期補習班（苗栗班）,442,,文理類,苗栗縣苗栗市北苗里1鄰為公路29號2F,2006-01-24,300
苗栗縣政府,苗栗縣私立雅比文理短期補習班,120,jordanvi2@yahoo.com.tw,文理類,苗栗縣竹南鎮中正路301號1-2F、293號1-3F,2007-05-08,300
苗栗縣政府,苗栗縣私立救國團團委會附設語文技藝短期補習班(頭份班),448,,外語類,苗栗縣頭份市中華路1192號5F,2008-07-15,300
苗栗縣政府,苗栗縣私立建成文理短期補習班,122,cclingh@gmail.com,文理類,苗栗縣竹南鎮山佳里龍山路3段132號1-3樓,2007-06-01,300
苗栗縣政府,苗栗縣私立米吉文理技藝短期補習班,,mp39633@yahoo.com.tw,文理類,苗栗縣苗栗市福麗里民族路225號,2019-01-07,300
苗栗縣政府,苗栗縣私立向日葵文理短期補習班,110,,文理類,苗栗縣苗栗市福星里中華東街36號1-3F,2007-01-15,300
苗栗縣政府,苗栗縣私立冠群文理短期補習班,,,文理類,苗栗縣頭份市大同路146號1樓,2022-02-07,300
苗栗縣政府,苗栗縣私立鍾碩數理文理短期補習班自治分班,,jimissmart@hotmail.com,文理類,苗栗縣苗栗市文山里16鄰自治路358號1樓,2021-12-21,300
苗栗縣政府,苗栗縣私立吉安文理短期補習班,016,chunankid@yahoo.com.tw,文理類,苗栗縣竹南鎮聖福里環市路3段154號1-2F,2005-05-03,300
苗栗縣政府,苗栗縣私立林恩文理短期補習班,221,shane.toufen@gmail.com,文理類,苗栗縣頭份市明新街8號1-2樓,2009-06-08,300
苗栗縣政府,苗栗縣私立鍾碩數理文理短期補習班,,jimissmart@hotmail.com,文理類,苗栗縣苗栗市文山里正發路180號1-2樓,2019-04-17,300
苗栗縣政府,苗栗縣私立藝果文理短期補習班,,,文理類,苗栗縣竹南鎮環市路二段177號1樓,2017-07-24,300
苗栗縣政府,苗栗縣私立鹿鳴文理短期補習班,032,,文理類,苗栗縣頭份市文化里翠亨路32號1-2F,2005-08-30,300
苗栗縣政府,史丹佛文教事業股份有限公司附設苗栗縣私立史丹佛文理短期補習班,,,文理類,苗栗縣頭份市光華北路10號1-4樓,2002-09-13,300
苗栗縣政府,苗栗縣私立杜威文教機構文理短期補習班,,jacky611380@hotmail.com,文理類,苗栗縣頭份市永貞路二段310號2樓,2019-07-26,300
苗栗縣政府,學晨文教顧問股份有限公司附設苗栗縣私立學華文理短期補習班,,sc278808@yahoo.com.tw,文理類,苗栗縣苗栗市福麗里35鄰北安街18號1樓/苗栗縣苗栗市褔麗里35鄰府前路160巷51弄2號,2016-04-15,300
苗栗縣政府,學晨文教顧問股份有限公司附設苗栗縣私立學晨美語珠心算技藝短期補習班,257,sc278808@yahoo.com.tw,外語類,苗栗縣苗栗市福星里嘉福街6號1-2F,2010-05-27,300
苗栗縣政府,苗栗縣私立佳學美語技藝短期補習班,313,,外語類,苗栗縣苗栗市文山里正發路190號,2011-08-19,300
苗栗縣政府,苗栗縣私立中正文理短期補習班,136,,文理類,苗栗縣苑裡鎮客庄里11鄰11號1~2F,2007-09-26,300
苗栗縣政府,苗栗縣私立夏禾文理短期補習班,125,learningseed469779@gmail.com,文理類,苗栗縣竹南鎮中華里15鄰萬大街22號2樓,2007-07-06,300
苗栗縣政府,苗栗縣私立文喬文理短期補習班,646,anguswoo805@gmail.com,文理類,苗栗縣頭份市建國路96之1號1-2樓,1999-01-26,300
苗栗縣政府,台灣知識庫股份有限公司附設苗栗縣私立數位學堂文理短期補習班,224,,文理類,苗栗縣苗栗市上苗里為公路8號3F,2009-07-06,300
苗栗縣政府,巨匠電腦股份有限公司附設電腦技藝短期補習班竹南分班,723,en_mailbox@pcschool.com.tw,資訊類,苗栗縣竹南鎮延平路110號1-2樓、108號2樓,2004-11-19,300
苗栗縣政府,巨匠電腦股份有限公司附設電腦美語技藝短期補習班（苗栗班）,281,ef_mailbox@pcschool.com.tw,外語類,苗栗縣苗栗市新苗里7鄰中正路825號,2011-01-04,300
苗栗縣政府,苗栗縣私立家緯文理短期補習班,,,文理類,苗栗縣竹南鎮中正路383號,2018-12-17,300
苗栗縣政府,苗栗縣私立富瑞爾文理短期補習班,,,文理類,苗栗縣頭份市中興里9鄰中央路302號1樓,2019-07-26,300
苗栗縣政府,苗栗縣私立廣學文理技藝短期補習班,,,文理類,苗栗縣頭份市信義路424之2號1樓,2023-02-09,300
苗栗縣政府,苗栗縣私立智勤文理短期補習班,,lineducation2022@gmail.com,文理類,苗栗縣竹南鎮正南里中正路74號1-2樓,2022-06-20,300
苗栗縣政府,地球村出版有限公司附設苗栗縣私立地球村語文文理短期補習班,199,gvoedu888@gmail.com,外語類,苗栗縣苗栗市中正路386號1-4F,2009-01-19,300
苗栗縣政府,苗栗縣私立地球村出版有限公司附設苗栗縣私立地球村文理短期補習班竹南分班,,gvoedu888@gmail.com,文理類,苗栗縣竹南鎮中山路123號1-3樓,2020-12-07,300
苗栗縣政府,苗栗縣私立群益文理短期補習班,404,,文理類,苗栗縣竹南鎮竹南里16鄰延平路27之1號1-3F,2013-08-13,300
苗栗縣政府,苗栗縣私立全人美語珠心算技藝短期補習班,380,,外語類,苗栗縣頭屋鄉頭屋村14鄰尖豐路74號2F,2012-12-28,300
苗栗縣政府,苗栗縣私立葛萊芬多雙語科學實作教育文理短期補習班,,steam.greatfinder@gmail.com,文理類,苗栗縣竹南鎮佳興里環市路三段480號1-2樓,2021-08-06,300
苗栗縣政府,苗栗縣私立欣欣文理短期補習班,,,文理類,苗栗縣頭份市信東路316號1樓,2022-12-23,300
苗栗縣政府,苗栗縣私立千睿文理短期補習班,,lee33393@gmail.com,文理類,苗栗縣苑裡鎮山腳里13鄰山腳358-1號2-3樓,2020-06-03,300
