地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
雲林縣政府,私立永恩文理短期補習班,AN032,hsiuhsiujamie@gmail.com,文理類,雲林縣西螺鎮福興路40巷22號(1-2樓),2023-07-21,365
雲林縣政府,私立育才文理短期補習班,AP005,yucai.mathstar@gmail.com,文理類,北港鎮文明路22號,2011-01-03,365
雲林縣政府,十全贏股份有限公司附設雲林縣私立十全贏英語文理短期補習班,AJ007,dl@gram.com.tw,文理類,斗六市武昌路123號,2013-07-22,365
雲林縣政府,私立洪老師文理短期補習班,AD081,eq1956@yahoo.com.tw,文理類,雲林縣虎尾鎮北平路112號,2020-07-21,365
雲林縣政府,私立華盛頓文理短期補習班,AI019,,文理類,麥寮鄉華興路45、47號,2005-06-23,365
雲林縣政府,私立優陞文理短期補習班,AF008,pp221688198@gmail.com,文理類,雲林縣東勢鄉東北村東勢東路274號1-2樓,2020-06-18,365
雲林縣政府,私立張鈞文理短期補習班公誠分班,AJ022,caim927@hotmail.com,文理類,雲林縣斗六市三平里慶生路261、263號1、2樓,2011-01-12,365
雲林縣政府,私立資優陽明文理短期補習班,AJ003,,文理類,斗六市鎮南路110、112號,2014-03-17,365
雲林縣政府,私立維德快樂短期補習班,AN027,weiderhappiness@gmail.com,文理類,西螺鎮松興街68號1-2樓,2018-11-05,365
雲林縣政府,私立小狀元珠心算文理短期補習班,AA019,c122308795@gmail.com,文理類,雲林縣斗南鎮文化街19號,2000-08-01,365
雲林縣政府,私立智星文理短期補習班,AI024,fairy19820507@gmail.com,文理類,雲林縣麥寮鄉麥豐村24鄰中正路167號2樓、169號1樓、171號1樓,2014-12-04,365
雲林縣政府,私立育成文理短期補習班,AN031,melodyshe145@gmail.com ,文理類,雲林縣西螺鎮金府街38號(1-2樓),2020-11-16,365
雲林縣政府,私立小蝌蚪音樂短期補習班,AN030,piano888666@yahoo.com.tw,音樂、舞蹈類,雲林縣西螺鎮新興路120號1樓,2020-01-30,365
雲林縣政府,威力教育事業股份有限公司附設雲林縣私立威力文理短期補習班,AJ140,,文理類,雲林縣斗六市西平路179號(2樓),2017-07-17,365
雲林縣政府,私立奔放技藝短期補習班,AJ154,kwanlin20133@gmail.com,美術、書法、攝影、美工設計、圍棋類,雲林縣斗六市南京路516-1號(1-2樓),2023-02-06,365
雲林縣政府,私立林宏文理短期補習班,,,文理類,雲林縣斗六市民生路285號(1-2樓),2023-02-09,365
雲林縣政府,私立喜德文理短期補習班,,xide2023@gmail.com,文理類,雲林縣斗六市上海路128號(1-2樓),2023-03-30,365
雲林縣政府,私立森美術教室技藝短期補習班,AJ153,s9944010@mail.tljh.ylc.edu.tw,美術、書法、攝影、美工設計、圍棋類,雲林縣斗六市鎮東路70號(1-2樓),2022-12-13,365
雲林縣政府,私立馨巧文理短期補習班,AJ071,a5516419@yahoo.com.tw,文理類,雲林縣斗六市竹圍路12-4號1-2樓,2004-05-25,365
雲林縣政府,私立菁華文理短期補習班,AJ111,p53101399@gmail.com,文理類,斗六市鎮東路99號,1999-06-24,365
雲林縣政府,私立菲格奧文理短期補習班,,linda5833047@gmail.com,文理類,雲林縣虎尾鎮立仁里復興路200-1號(1樓),2023-03-30,365
雲林縣政府,私立晨曦文理短期補習班虎尾分班,AD005,,文理類,虎尾鎮東仁里民族路9號1-2樓,2013-08-26,365
雲林縣政府,私立崇文文理短期補習班,AN023,davidlin762002@yahoo.comtw,文理類,雲林縣西螺鎮漢光里中山路229巷9號(1-4樓),1984-10-27,365
雲林縣政府,私立學人文理短期補習班,AA032,shiueren@yahoo.com,文理類,雲林縣斗南鎮光復街11號,2020-11-03,365
雲林縣政府,私立畢卡索藝術教育中心技藝短期補習班北港分班,AP037,picasso5559@gmail.com,美術、書法、攝影、美工設計、圍棋類,雲林縣北港鎮光復里13鄰光復一路2-9號1-2樓,2017-02-20,365
雲林縣政府,私立文心文理短期補習班,AJ101,evi880612@yahoo.com.tw,文理類,斗六市東興街168之2號,2001-07-16,365
雲林縣政府,私立才群文理短期補習班,AM005,,文理類,雲林縣莿桐鄉中山路57號(1-4樓),2004-12-29,365
雲林縣政府,私立米樂斯文理短期補習班,AE003,ariel04383@yahoo.com.tw,文理類,褒忠鄉埔姜村三民路147巷6號之2,2007-02-02,365
雲林縣政府,私立資優生文理短期補習班,AI015,p0921212573@gmail.com,文理類,麥寮鄉中山路7號,2006-07-19,365
雲林縣政府,私立凱勝文理短期補習班,AJ145,mavis1318@gmail.com,文理類,雲林縣斗六市莊敬路391號1-2樓,2019-10-09,365
雲林縣政府,私立勵學苑文理短期補習班,AD006,davehsu1030@gmail.com,文理類,虎尾鎮公安里林森路一段396巷2號1-2樓,2013-08-12,365
雲林縣政府,私立梵妮莎英語短期補習班,AC015,anneshirleylove@yahoo.com.tw,外語類,雲林縣土庫鎮馬光路181巷2-2號1-2樓,2015-06-25,365
雲林縣政府,私立龍興文理短期補習班,AC009,emily68471@gmail.com,文理類,土庫鎮新建路6之12號1-3樓,2003-07-02,365
雲林縣政府,私立昌明文理短期補習班,AC008,yang51sue12@yahoo.com.tw,文理類,土庫鎮大同路2-6號1-2樓,2004-03-03,365
雲林縣政府,私立智詮珠心算才藝短期補習班,AC002,sdevol34@gmail.com,商類：珠算、心算、會計,土庫鎮石廟里17鄰文吉路23號1-2樓,2007-10-25,365
雲林縣政府,私立夏綠蒂文理短期補習班,AD007,charlotte6322756@gmail.com,文理類,虎尾鎮安慶里民主路34-7號1-2樓,2013-06-28,365
雲林縣政府,私立丁秀敏文理短期補習班,AG001,teacherding120@gmail.com,文理類,臺西鄉海口村中山路306號,2012-02-07,365
雲林縣政府,私立立達文理短期補習班,AD015,beckywu1000128@gmail.com,文理類,雲林縣虎尾鎮自強街71號、85號,2011-01-28,365
雲林縣政府,智基科技開發(股)公司雲林分公司附設私立志光法商短期補習班斗六分班,AJ085,hannsg640@yahoo.com.tw,法政類,斗六市民生路172號5樓、7樓,2002-10-30,365
雲林縣政府,智基科技開發股份有限公司雲林分公司附設私立志光法商短期補習班虎尾分班,AD039,hooway123@gmail.com,法政類,虎尾鎮林森路一段488-1號1、2樓,2004-09-20,365
雲林縣政府,台灣知識庫股份有限公司斗六分公司附設洋碩甄戰數位學堂文理短期補習班,AJ078,,文理類,雲林縣斗六市鎮北路34號1-4樓,2003-09-18,365
雲林縣政府,台灣知識庫股份有限公司附設雲林縣私立虎尾洋碩甄戰數位學堂文理短期補習班 ,AD029,,文理類,雲林縣虎尾鎮林森路二段268號,2006-09-07,365
雲林縣政府,巨匠電腦股份有限公司斗六分公司附設雲林縣私立巨匠電腦美語短期補習班,AJ081,gi_mailbox@pcschool.com.tw,外語類,雲林縣斗六市民生路191、193、195號,2003-04-23,365
雲林縣政府,私立好好讀書文理短期補習班,AC004,,文理類,雲林縣土庫鎮石廟里中興路67號(1-2樓),2006-04-25,365
雲林縣政府,私立英智文理短期補習班,AP029,weiwei_e@yahoo.com.tw,文理類,雲林縣北港鎮文明路5號,2000-03-27,365
雲林縣政府,私立長宏文理短期補習班,AD060,a0931566147@yahoo.com.tw,文理類,虎尾鎮明正東路47號,1996-12-18,365
雲林縣政府,私立威利文理短期補習班,AA034,pppyaf110058@gmail.com,文理類,雲林縣斗南鎮福德街70-1號(1-2樓),2023-01-10,365
雲林縣政府,地球村語文資訊有限公司附設雲林縣私立國際地球村語文短期補習班,AJ113,gvoedu888@gmail.com,外語類,斗六市文化路1號及鎮北路2號1-3樓,1999-03-23,365
雲林縣政府,私立大鳥文理短期補習班,AN021,bigbird168@gmail.com,文理類,雲林縣西螺鎮西興南路51號(3樓),1996-05-20,365
