課程名稱,上課地點,開放報名,開課日期,性質
國際藝術3D果凍花技術及行銷人才培訓班,臺東縣台東市正氣北路911號,2021/04/29,2021/08/09,青年
時尚咖啡飲品調製實作班第02期,臺東縣台東市文心街10號,2022/10/22,2022/11/21,在職
美甲凝膠彩繪設計及延甲變化設計班,臺東縣台東市正氣北路911號,2022/10/21,2022/11/20,在職
凝膠彩繪拉花藝術及美甲貼紙運用設計班,臺東縣台東市正氣北路911號,2022/10/20,2022/11/19,在職
施工安全評估人員安全衛生教育訓練班第01期,臺東縣台東市泰安街26巷6號1樓,2022/10/07,2022/11/06,在職
傳統整復推拿基本與全身調理手法訓練班第03期,臺東縣台東市鐵花路82號,2022/10/06,2022/11/05,在職
時尚飲調實作進階班第02期,臺東縣台東市文心街10號,2022/09/28,2022/10/27,在職
烘焙食品西點製作班第01期,臺東縣台東市四維路1段344號,2022/09/17,2022/11/14,在職
旅遊顧問實戰班 第01期,臺東縣,2022/09/07,2022/10/28,職前
家事服務管理班 第01期,臺東縣,2022/08/05,2022/10/07,職前
時尚調酒實作基礎班第02期,臺東縣台東市文心街10號,2022/08/02,2022/09/01,在職
TE03照顧服務員訓練(職前平日)班 第03期,臺東縣,2022/08/01,2022/09/05,職前
飲料飲品調製實作基礎班第02期,臺東縣台東市文心街10號,2022/07/30,2022/08/29,在職
美甲凝膠彩繪設計及沙龍經營實務初階班,臺東縣台東市正氣北路911號,2022/07/29,2022/08/28,在職
美甲彩墨暈染及凝膠彩繪創意設計班,臺東縣台東市正氣北路911號,2022/07/28,2022/08/27,在職
民俗調理業腳底按摩調理手法班第01期,臺東縣台東市仁昌街10巷20號,2022/07/28,2022/08/27,在職
原風不動創意打版製作班 第01期,臺東縣,2022/07/19,2022/08/22,職前
原住民陶食創意運用班 第01期,臺東縣,2022/07/19,2022/10/31,職前
觀光休閒旅遊服務人才培訓班 第01期,臺東縣,2022/07/19,2022/08/29,職前
西點食品烘焙製作班 第01期,臺東縣,2022/07/12,2022/09/14,職前
砌磚技術人員培訓班 第01期,臺東縣,2022/06/21,2022/09/27,職前
中式料理暨烘焙食品製作班 第01期,臺東縣,2022/06/14,2022/09/19,職前
地方風味餐飲及農特產品加工班 第01期,臺東縣,2022/06/02,2022/06/27,職前
餐館家常料理美食製作班 第01期,臺東縣,2022/06/02,2022/07/13,職前
