課程名稱,上課地點,開放報名,開課日期,性質
精密機械操作及管理人才培訓班,嘉義市東區民權路278號6樓,2021/11/01,2022/01/03,青年
LINE APP行銷策略訓練班,60042嘉義市國華街245號7樓1(7樓1C教室),2021/09/24,2021/12/08,在職
工業產品設計創作實務培訓班(青年專班)第01期,(600)嘉義市嘉義市垂楊路400號八樓之二,2021/09/17,2021/12/13,青年
綠能科技太陽能光電技能班第03期,嘉義市嘉義市垂楊路508號5樓之2,2021/08/25,2022/01/15,在職
綠能科技太陽能光電技能班,60043嘉義市垂楊路508號5樓之2(本會A訓練室),2021/08/25,2021/12/11,在職
智慧機械製圖人才培訓班 第01期,嘉義市,2021/07/15,2021/12/29,職前
(嘉義縣)工藝商品設計暨3D列印組裝班 第01期,嘉義市,2021/03/12,2021/08/25,職前
急救人員安全衛生教育訓練班D班第01期,嘉義市嘉義市民權路278號6樓,2022/11/27,2022/12/27,在職
低GI飲食健康料理班第01期,嘉義市嘉義市上海路27號,2022/11/26,2022/12/26,在職
特色烘豆與花式特調咖啡班第01期,嘉義市嘉義市垂楊路400號8樓之2,2022/11/17,2022/12/17,在職
社群數位行銷廣告策略實務應用班第01期,嘉義市嘉義市友忠路555號1樓,2022/11/17,2022/12/17,在職
室內空間規劃設計繪圖實務班第01期,嘉義市嘉義市垂楊路400號8樓之2,2022/11/14,2022/12/14,在職
AutoCAD製圖與產品3D列印B班第01期,嘉義市嘉義市蘭井街465號2樓,2022/11/14,2022/12/14,在職
手機微電影短片製作初級班第01期,嘉義市嘉義市國華街245號6樓,2022/11/11,2022/12/24,在職
電商經營實務操作與數位行銷班第01期,嘉義市嘉義市福州七街65號1樓,2022/11/09,2022/12/09,在職
健康烘焙及咖啡蔬果養生飲品班第01期,嘉義市嘉義市蘭井街465號9樓3,2022/11/08,2022/12/08,在職
新潮流手作烘焙進階班第01期,嘉義市嘉義市國華街245號6樓,2022/11/05,2022/12/05,在職
空間整理收納技巧班第01期,嘉義市嘉義市垂楊路508號5樓之2,2022/11/03,2022/12/03,在職
園藝栽培人員培訓班第01期,嘉義市嘉義市盧厝里盧義路39之1號,2022/11/03,2022/12/04,在職
一般物業清潔人員施作課程班第02期,嘉義市嘉義市垂楊路508號5樓之2,2022/11/02,2022/12/02,在職
不動產買賣糾紛預防與解決培訓班第01期,嘉義市嘉義市民權路304號2樓,2022/11/01,2022/12/01,在職
創意糖霜餅乾與杯子蛋糕製作班第01期,嘉義市嘉義市蘭井街465號9樓3,2022/11/01,2022/12/01,在職
五感芳療人才培訓班第02期,嘉義市嘉義市林森東路151號1樓,2022/10/30,2022/11/29,在職
林業工藝產業創作設計班第07期,嘉義市嘉義市玉康路160號2樓,2022/10/30,2022/11/29,在職
社群行銷圖像設計與LINE官方帳號設置經營班第01期,嘉義市嘉義市蘭井街465號2樓,2022/10/23,2022/11/22,在職
荷重在一公噸以上之堆高機操作人員特殊安全衛生訓練班D班第01期,嘉義市嘉義市民權路278號6樓,2022/10/23,2022/11/22,在職
丙種職業安全衛生業務主管教育訓練班第01期,嘉義市嘉義市民權路278號6樓,2022/10/21,2022/11/20,在職
咖啡萃取調製與拉花實作班第01期,嘉義市嘉義市蘭井街465號9樓3,2022/10/19,2022/11/18,在職
數位轉型、AI數位行銷與ESG應用實務班-第二梯次,嘉義市東區興業東路316號10樓(遠距教學),2022/10/17,2022/12/06,青年
茶葉製造技術與評鑑訓練班第01期,嘉義市嘉義市民權路304號2樓,2022/10/16,2022/11/15,在職
Excel與Office軟體應用實務班第01期,嘉義市嘉義市玉康路160號,2022/10/11,2022/11/24,在職
生活日語會話班第01期,嘉義市嘉義市蘭井街465號2樓,2022/10/09,2022/11/08,在職
勞動法令與勞資爭議處理實務班第01期,嘉義市嘉義市垂楊路400號8樓之2,2022/10/09,2022/12/06,在職
太陽能及自動控制技術訓練班第02期,嘉義市嘉義市民權路304號2樓,2022/10/06,2022/11/05,在職
咖啡沖煮萃取品鑑實戰班第01期,嘉義市嘉義市友忠路555號1樓,2022/10/06,2022/11/05,在職
營造業甲種職業安全衛生業務主管訓練班第02期,嘉義市嘉義市中興路127號5樓(第三教室),2022/10/04,2022/11/03,在職
房務禮儀暨清潔人員技術培訓班 第01期,嘉義市,2022/10/04,2022/11/14,職前
雲端文書與辦公室軟體整合運用班第01期,嘉義市嘉義市福州七街65號1樓,2022/10/03,2022/11/02,在職
茶葉感官專業人才中級訓練B班第03期,嘉義市嘉義市民權路304號2樓,2022/10/02,2022/11/01,在職
幸福孕媽咪產後經絡與舒壓按摩班第01期,嘉義市嘉義市國華街245號7樓1,2022/10/02,2022/11/01,在職
智慧科技應用(AI)雲端智能環控技術實務班第01期,嘉義市嘉義市福州七街65號1樓,2022/10/02,2022/11/01,在職
真食手作醬香調味料理班第01期,嘉義市嘉義市上海路27號,2022/10/01,2022/11/14,在職
營造業甲種職業安全衛生業務主管訓練班第01期,嘉義市嘉義市國華街245號7樓之6,2022/09/30,2022/10/30,在職
SolidWorks零件設計應用班第01期,嘉義市嘉義市垂楊路400號8樓之2,2022/09/29,2022/11/22,在職
課輔才藝彩繪捏塑實務班第01期,嘉義市嘉義市國華街245號7樓1,2022/09/25,2022/10/25,在職
交通事故處理暨保險業勞資權益解析班第01期,嘉義市嘉義市玉康路160號2樓,2022/09/20,2022/10/20,在職
茶葉感官專業人才中級訓練A班第02期,嘉義市嘉義市民權路304號2樓,2022/09/19,2022/10/19,在職
手部保養與花繪沙龍凝膠美甲班第01期,嘉義市嘉義市蘭井街465號2樓,2022/09/19,2022/10/19,在職
事業單位預防職業災害實務應用班第01期,嘉義市嘉義市民權路278號6樓,2022/09/18,2022/10/22,在職
生活傢飾烙畫設計訓練班第05期,嘉義市嘉義市彌陀路255號C棟1樓,2022/09/18,2022/10/18,在職
太陽能發電及儲電技術訓練班第01期,嘉義市嘉義市公義路1號,2022/09/17,2022/11/21,在職
社群智慧經營與數位行銷實務班第01期,嘉義市嘉義市世賢路４段120號,2022/09/16,2022/11/20,在職
瑜珈教學人員應用實務班第02期,嘉義市嘉義市世賢路４段120號,2022/09/15,2022/10/15,在職
幸福親子彌月禮盒及舒活健康飲品製作班第01期,嘉義市嘉義市垂楊路400號8樓之2,2022/09/15,2022/10/22,在職
3D繪圖與3D列印結合智慧控制系統實作應用班第01期,嘉義市嘉義市福州七街65號1樓,2022/09/15,2022/10/15,在職
服裝打版及綠時尚原衣改造創新設計班第02期,嘉義市嘉義市彌陀路255號C棟1樓,2022/09/15,2022/10/15,在職
急救人員安全衛生教育訓練班第01期,嘉義市嘉義市國華街245號7樓之6,2022/09/14,2022/10/14,在職
ERP與商業文書資料數據分析班(本班採遠距視訊教學) 第01期,嘉義市,2022/09/12,2022/11/07,職前
急救人員安全衛生教育訓練班C班第01期,嘉義市嘉義市民權路278號6樓,2022/09/11,2022/10/11,在職
FUN英文會話基礎訓練班第02期,嘉義市嘉義市興業東路316號10樓,2022/09/05,2022/10/05,在職
中小企業稅務規劃實務班第01期,嘉義市嘉義市興業東路316號10樓,2022/09/04,2022/10/04,在職
電動機踏車維修保養訓練班第04期,嘉義市嘉義市民權路304號,2022/09/02,2022/10/02,在職
電腦硬體裝修實務班第02期,嘉義市嘉義市垂楊路508號5樓之2,2022/09/01,2022/10/15,在職
創意皮雕暨數位行銷應用班第01期,嘉義市嘉義市公義路1號,2022/09/01,2022/11/05,在職
AIoT人工智慧物聯網與ESG實務班-第二梯次,嘉義市東區興業東路316號10樓(遠距教學),2022/09/01,2022/12/05,青年
社群媒體網路行銷經營班第02期,嘉義市嘉義市蘭井街465號2樓,2022/08/31,2022/09/30,在職
企業軟體應用人才訓練班(本班採遠距視訊教學) 第01期,嘉義市,2022/08/31,2022/12/09,職前
廣告創意視覺設計班(本班採遠距視訊教學) 第01期,嘉義市,2022/08/30,2022/11/28,職前
AIoT人工智慧物聯網與ESG實務班-第一梯次,嘉義市東區興業東路316號10樓(遠距教學),2022/08/29,2022/10/18,青年
時尚手作拼布實作班第06期,嘉義市嘉義市民權路304號2樓,2022/08/27,2022/09/26,在職
職場商用英語進階班第01期,嘉義市嘉義市世賢路４段120號,2022/08/27,2022/10/03,在職
人氣綜合烘焙點心訓練班第01期,嘉義市嘉義市國華街245號6樓,2022/08/27,2022/09/26,在職
咖啡輕食職人培育班第01期,嘉義市嘉義市玉康路160號2樓,2022/08/26,2022/09/25,在職
創意點心手作烘焙訓練班第04期,嘉義市嘉義市大業里國華街245號6樓,2022/08/25,2022/09/24,在職
植萃精油文創手工皂製作班第02期,嘉義市嘉義市蘭井街465號9樓3,2022/08/23,2022/09/27,在職
數位轉型、AI數位行銷與ESG應用實務班-第一梯次,嘉義市東區興業東路316號10樓(遠距教學),2022/08/23,2022/10/19,青年
綠手指園藝植栽造景訓練班第11期,嘉義市嘉義市彌陀路255號C棟1樓,2022/08/22,2022/09/21,在職
共有不動產交易安全專題之共有不動產分割實務班第01期,嘉義市嘉義市林森東路151號,2022/08/22,2022/09/21,在職
複合媒材泥塑傢飾藝品班第04期,嘉義市嘉義市垂楊路508號5樓之2,2022/08/20,2022/09/19,在職
電動機車維修保養技術班 第01期,嘉義市,2022/08/19,2022/10/24,職前
勞動法令與人力資源管理實務應用訓練班第01期,嘉義市嘉義市世賢路４段120號,2022/08/18,2022/09/17,在職
電腦輔助製圖與智慧機械應用班(實體遠距視訊混合教學) 第01期,嘉義市,2022/08/18,2022/10/13,職前
時尚美妍美甲證照訓練班(新住民專班) 第01期,嘉義市,2022/08/18,2022/10/06,職前
彩妝彩繪護膚設計班第01期,嘉義市嘉義市國華街245號6樓,2022/08/17,2022/10/21,在職
果酒麥酒自釀與副產品利用實作班第02期,嘉義市嘉義市林森東路151號,2022/08/17,2022/09/17,在職
肚皮舞核心肌群控制訓練B班第03期,嘉義市嘉義市吳鳳南路94號,2022/08/17,2022/09/16,在職
茶葉感官進階訓練班第01期,嘉義市嘉義市民權路304號2樓,2022/08/16,2022/09/15,在職
芳療照護健康管理班第04期,嘉義市嘉義市林森東路151號1樓,2022/08/14,2022/09/13,在職
創意健康料理實作班第01期,嘉義市嘉義市國華街245號6樓,2022/08/14,2022/09/13,在職
活動展場行銷企劃實務班第01期,嘉義市嘉義市垂楊路400號8樓之2,2022/08/13,2022/10/12,在職
手機拍攝及創意修圖班第04期,嘉義市嘉義市國華街245號6樓,2022/08/13,2022/09/12,在職
流行服裝打版設計訓練班第08期,嘉義市嘉義市彌陀路255號C棟1樓,2022/08/08,2022/09/07,在職
快剪燙染造型設計班第01期,嘉義市嘉義市國華街245號6樓,2022/08/08,2022/09/28,在職
不動產經紀人專業訓練班第01期,嘉義市嘉義市金山路108號3樓之3,2022/08/06,2022/09/05,在職
肚皮舞核心肌群控制訓練A班第03期,嘉義市嘉義市世賢路４段120號,2022/08/06,2022/09/05,在職
茶業入門生活茶藝訓練班第01期,嘉義市嘉義市民權路278號6樓,2022/08/06,2022/10/17,在職
精密機械人才培訓班 第01期,嘉義市,2022/08/05,2022/09/19,職前
傳統整復推拿初級技術員職能基準單元課程班第01期,嘉義市嘉義市彌陀路253號,2022/08/04,2022/09/03,在職
創意流行包款製作訓練班第09期,嘉義市嘉義市彌陀路255號C棟1樓,2022/08/04,2022/09/03,在職
質感手工咖啡暨輕食美學創意班第01期,嘉義市嘉義市友忠路555號1樓,2022/08/04,2022/09/17,在職
手機拍出專業美感技巧班第01期,嘉義市嘉義市福州七街65號1樓,2022/08/03,2022/08/27,在職
手作花藝美學設計訓練班第01期,嘉義市嘉義市國華街245號6樓,2022/08/03,2022/09/02,在職
電腦打版設計應用訓練班第01期,嘉義市嘉義市國華街245號7樓9,2022/08/03,2022/09/17,在職
天然蔬果3D藝術果凍花訓練班第02期,嘉義市嘉義市彌陀路255號C棟1樓,2022/08/02,2022/08/23,在職
社群影音製作與自媒體經營實務班第01期,嘉義市嘉義市福州七街65號1樓,2022/08/02,2022/09/01,在職
手作製鞋與皮革工藝班第02期,嘉義市嘉義市蘭井街465號2樓,2022/08/02,2022/09/01,在職
燒烙畫藝術品實作班第03期,嘉義市嘉義市玉康路160號2樓,2022/08/02,2022/08/23,在職
木工傢俱畫作設計B班第12期,嘉義市嘉義市民權路304號2樓,2022/08/02,2022/08/22,在職
甲種職業安全衛生業務主管訓練班第02期,嘉義市嘉義市中興路127號5樓(第三教室),2022/08/02,2022/09/01,在職
職業安全衛生管理員實務解析班第01期,嘉義市嘉義市民權路278號6樓,2022/08/01,2022/08/21,在職
香氛製品暨手工皂實作班第01期,嘉義市嘉義市垂楊路400號8樓之2,2022/07/31,2022/08/30,在職
社會保險及車禍解析班第01期,嘉義市嘉義市玉康路160號2樓,2022/07/31,2022/08/19,在職
園藝多肉組盆與造景應用班第02期,嘉義市嘉義市蘭井街465號2樓,2022/07/30,2022/08/29,在職
AutoCAD建築製圖實務訓練班第01期,嘉義市嘉義市玉康路160號3樓306電腦教室,2022/07/30,2022/08/29,在職
異國玩味食尚私廚料理班第01期,嘉義市嘉義市上海路27號,2022/07/30,2022/08/29,在職
荷重在一公噸以上之堆高機操作人員特殊安全衛生訓練班C班第01期,嘉義市嘉義市民權路278號6樓,2022/07/30,2022/08/29,在職
地政士專業輔導班第01期,嘉義市嘉義市公義路1號,2022/07/29,2022/10/02,在職
現代下午茶創意烘焙點心實務訓練班第02期,嘉義市嘉義市埤竹路50號,2022/07/29,2022/08/28,在職
照顧實作技術訓練A班第02期,嘉義市嘉義市國華街245號7樓1,2022/07/29,2022/08/28,在職
日語會話速成班第01期,嘉義市嘉義市世賢路１段679號,2022/07/28,2022/08/27,在職
複合式編織暨銷售管理應用班第01期,嘉義市嘉義市公義路1號,2022/07/28,2022/09/24,在職
房地合一稅制法令及實務解析班第01期,嘉義市嘉義市民權路278號6樓,2022/07/27,2022/08/13,在職
多元工藝素材創意美學設計班第01期,嘉義市嘉義市民權路278號6樓,2022/07/27,2022/08/25,在職
二輪電動車維修保養實務A班第05期,嘉義市嘉義市垂楊路508號5樓之2,2022/07/27,2022/09/17,在職
綠美化園藝植栽造景訓練班第03期,嘉義市嘉義市彌陀路255號C棟1樓,2022/07/27,2022/08/13,在職
時尚布藝商品創意設計班第09期,嘉義市嘉義市彌陀路255號C棟1樓,2022/07/26,2022/08/09,在職
電動機踏車維修保養訓練班第03期,嘉義市嘉義市民權路304號,2022/07/26,2022/08/07,在職
手縫拼布實作班第05期,嘉義市嘉義市民權路304號2樓(會議室),2022/07/26,2022/08/06,在職
工業機具繪圖人才培訓班(產訓專班) 第01期,嘉義市,2022/07/26,2022/12/19,職前
不動產經紀人專業輔導班第01期,嘉義市嘉義市公義路1號,2022/07/25,2022/08/06,在職
茶葉感官專業人才初級訓練班第02期,嘉義市嘉義市民權路304號2樓,2022/07/25,2022/08/03,在職
創意手作編織包及編織小物實作班第06期,嘉義市嘉義市民權路304號2樓,2022/07/25,2022/08/01,在職
電腦硬體裝修暨網路架設班(融合式專班) 第01期,嘉義市,2022/07/14,2022/09/12,職前
產業資安人才培訓班第02期,嘉義市嘉義市垂楊路508號5樓之2,2022/07/13,2022/08/27,在職
飯店服務與房務人員培訓班 第01期,嘉義市,2022/07/12,2022/09/07,職前
異國風味食尚烹調料理班(新住民專班) 第01期,嘉義市,2022/07/11,2022/12/12,職前
平車拷克縫紉加工應用培訓班 第01期,嘉義市,2022/07/01,2022/08/23,職前
職前平日第8班 第01期,嘉義市,2022/06/27,2022/10/03,職前
職前平日第6班 第01期,嘉義市,2022/06/27,2022/08/01,職前
AutoCAD製圖與產品3D列印A班第01期,嘉義市嘉義市蘭井街465號2樓,2022/06/26,2022/07/26,在職
太陽光能蓄電技術應用實務班第01期,嘉義市嘉義市民權路304號2樓,2022/06/23,2022/08/08,在職
綠能科技太陽能光電技能A班第04期,嘉義市嘉義市垂楊路508號5樓之2,2022/06/09,2022/12/24,在職
產業資安人才培訓班第01期,嘉義市嘉義市世賢路４段120號,2022/06/09,2022/07/09,在職
工業產品設計人員培訓班(青年專班)第01期,(600)嘉義市嘉義市垂楊路400號八樓之二,2022/06/07,2022/08/29,青年
智慧機械零組件設計製圖班第01期,嘉義市嘉義市垂楊路400號8樓之2,2022/06/02,2022/08/09,在職
經典本土台味料理班第01期,嘉義市嘉義市上海路27號,2022/05/27,2022/06/27,在職
新娘造型專業人員訓練班(新住民專班) 第01期,嘉義市,2022/05/27,2022/09/21,職前
勞動法令與人力資源管理實務應用訓練班第01期,嘉義市嘉義市玉康路160號2樓,2022/05/26,2022/06/26,在職
泥水工程施作技術班 第01期,嘉義市,2022/05/26,2022/08/22,職前
人資勞動法令實務應用訓練班第01期,嘉義市嘉義市民權路278號6樓,2022/05/25,2022/07/23,在職
專業簡報技巧暨口才訓練班第02期,嘉義市嘉義市垂楊路508號5樓之2,2022/05/25,2022/07/09,在職
3D凝膠創意設計訓練班第01期,嘉義市嘉義市彌陀路255號C棟1樓,2022/05/25,2022/06/25,在職
(嘉義縣)製茶技能養成訓練班 第01期,嘉義市,2022/05/25,2022/07/18,職前
Illustrator廣告美編商品設計班第01期,嘉義市嘉義市蘭井街465號2樓,2022/05/20,2022/06/20,在職
茶學感官藝術訓練班第01期,嘉義市嘉義市民權路278號6樓,2022/05/20,2022/06/20,在職
太陽能及自動控制技術訓練班第01期,嘉義市嘉義市民權路304號2樓,2022/05/18,2022/06/18,在職
3D繪圖、3D列印技術與逆向工程模具應用班第01期,嘉義市嘉義市福州七街65號1樓,2022/05/17,2022/06/18,在職
烘焙甜點暨咖啡餐車班 第01期,嘉義市,2022/05/16,2022/06/27,職前
急救人員安全衛生教育訓練班B班第02期,嘉義市嘉義市民權路278號6樓,2022/05/15,2022/06/15,在職
草本芳療與調製培訓班第01期,嘉義市嘉義市林森東路151號1樓,2022/05/14,2022/06/14,在職
微行銷直播規劃班第01期,嘉義市嘉義市世賢路４段120號2樓R203教室,2022/05/11,2022/06/11,在職
玩美凝膠美甲班第01期,嘉義市嘉義市蘭井街465號2樓,2022/05/09,2022/06/09,在職
茶事技藝訓練班第01期,嘉義市嘉義市民權路304號2樓,2022/05/09,2022/06/09,在職
小糕點餅乾烘焙班第01期,嘉義市嘉義市國華街245號6樓,2022/05/08,2022/06/08,在職
營利事業所得稅實務班第01期,嘉義市嘉義市興業東路316號10樓,2022/05/07,2022/06/07,在職
辦公室軟體暨雲端整合運用班第01期,嘉義市嘉義市福州七街65號1樓,2022/05/07,2022/06/07,在職
經典烘焙及創意點心製作班 第01期,嘉義市,2022/05/06,2022/08/22,職前
托育人員專業訓練班(在職班) 第01期,嘉義市,2022/05/06,2022/06/18,職前
企業多媒體設計人才培訓班 第01期,嘉義市,2022/05/05,2022/10/03,職前
