課程名稱,上課地點,開放報名,開課日期,性質
"AIoT,Robot,FinTech金融科技技術培訓班",嘉義縣民雄鄉大學路一段168號,2022/01/21,2022/03/03,青年
5G數位教學設計師培訓班,嘉義縣民雄鄉大學路1段168號,2021/04/01,2021/08/09,青年
照顧實作技術訓練B班第03期,嘉義縣太保市過溝里八德街692號2樓,2022/11/11,2022/12/11,在職
休閒連帽外套縫製進階班第01期,嘉義縣竹崎鄉竹崎村中山路76號,2022/10/19,2022/11/20,在職
LINE行銷與APP設計訓練班第01期,嘉義縣太保市過溝里八德街692號二樓,2022/10/17,2022/11/16,在職
嬰幼兒照顧技術訓練班第02期,嘉義縣太保市過溝里八德街692號2樓,2022/10/06,2022/11/05,在職
精緻伴手禮班第01期,嘉義縣朴子市市東路3號,2022/09/27,2022/10/27,在職
數位行銷與APP設計實作班第01期,嘉義縣太保市過溝里八德街692號二樓,2022/09/13,2022/10/27,在職
月子照護及月子餐調製訓練班第01期,嘉義縣太保市過溝里八德街692號2樓,2022/09/12,2022/10/12,在職
辦公室軟體應用技術培訓班 第01期,嘉義縣,2022/09/06,2022/10/24,職前
"AIoT,Big_Data,FinTech跨領域人才培訓暑期班",嘉義縣民雄鄉大學路一段168號 學科教室: 國立中正大學創新大樓5F/563教室 術科教室: 國立中正大學創新大樓2F/261電腦教室,2022/08/27,2022/10/07,青年
房務清潔高手暨輕食餐點製作訓練班(原住民專班) 第01期,嘉義縣,2022/08/19,2022/10/03,職前
社群行銷微影片製作實戰班第01期,嘉義縣大林鎮南華路１段55號成均館2F,2022/08/18,2022/12/18,在職
農漁產加工暨應用班第01期,嘉義縣布袋鎮六棟寮40號,2022/08/01,2022/08/31,在職
托育人員專業訓練班(職前班) 第1期,嘉義縣,2022/08/01,2022/09/17,職前
木工傢俱畫作設計A班第11期,嘉義縣竹崎鄉竹崎村中山路111號,2022/07/25,2022/08/01,在職
照顧服務員專班(東石職前班第01期) 第01期,嘉義縣,2022/07/04,2022/08/15,職前
特色料理暨原農咖啡製作培訓班(原住民專班) 第01期,嘉義縣,2022/06/24,2022/08/08,職前
坐月子餐點製作班第01期,嘉義縣民雄鄉建國路２段117號,2022/05/26,2022/06/26,在職
托育人員專業訓練班(職前班)嘉義縣補助班 第1期,嘉義縣,2022/05/23,2022/07/30,職前
風味料理烹飪暨市場行銷應用班(原住民專班) 第01期,嘉義縣,2022/05/20,2022/06/06,職前
數位媒體行銷與電子商務整合訓練班第01期,嘉義縣太保市過溝里八德街692號二樓,2022/05/17,2022/06/28,在職
托育人員專業訓練班-朴子在職班 第01期,嘉義縣,2022/05/13,2022/06/18,職前
"AI,Big_Data,FinTech產業技術冬季培訓班",嘉義縣民雄鄉大學路一段168號,2022/05/11,2022/06/23,青年
(嘉義縣)樂齡銀養膳食調理班 第01期,嘉義縣,2022/05/03,2022/06/20,職前
數位教學設計師培訓班,嘉義縣民雄鄉大學路一段168號,2022/05/02,2022/06/28,青年
大林職前班第2期 第02期,嘉義縣,2022/05/01,2022/07/05,職前
農畜產加工暨應用班第01期,嘉義縣布袋鎮六棟寮40號,2022/04/25,2022/06/15,在職
托育人員專業訓練班-太保職前班 第01期,嘉義縣,2022/04/25,2022/05/23,職前
(嘉義縣)縫紉技能多元應用與皮革設計班(特定對象) 第01期,嘉義縣,2022/04/20,2022/08/22,職前
(嘉義縣)男子快速理髮創業班 第01期,嘉義縣,2022/04/20,2022/06/20,職前
寵物長照之犬貓經絡按摩實作班第03期,嘉義縣大林鎮南華路１段55號3樓,2022/04/14,2022/06/26,在職
新世代中餐人才培訓班(特定對象) 第01期,嘉義縣,2022/04/12,2022/05/27,職前
111年度照顧服務員專班(職前班) 第01期,嘉義縣,2022/04/06,2022/07/01,職前
電動載具產業人才培訓班,嘉義縣民雄鄉建國路二段117號,2022/04/01,2022/06/21,青年
創意皮雕製作暨數位行銷應用班(融合式專班) 第01期,嘉義縣,2022/03/31,2022/04/25,職前
西餐烹調訓練班第01期,嘉義縣太保市過溝里八德街692號2樓,2022/03/19,2022/04/19,在職
精緻手作烘焙訓練班 第01期,嘉義縣,2022/03/15,2022/09/12,職前
