課程名稱,上課地點,開放報名,開課日期,性質
商品設計電商整合行銷班 第01期,宜蘭縣,2021/12/07,2022/04/06,職前
商品設計數位行銷整合班 第01期,宜蘭縣,2020/11/18,2021/07/27,職前
輕木工實作設計班第01期,宜蘭縣宜蘭市女中路三段62號七樓,2022/11/27,2022/12/27,在職
金屬飾品設計創作班第02期,宜蘭縣宜蘭市神農路２段57巷15號,2022/11/25,2022/12/25,在職
3D單根嫁接眼型調整應用班,宜蘭縣宜蘭市中山路２段68巷12弄2號,2022/11/17,2022/12/17,在職
英文會話應用班第01期,宜蘭縣宜蘭市女中路三段62號7樓,2022/11/16,2022/12/16,在職
不動產營業員實務訓練班第12期,宜蘭縣宜蘭市宜興路３段67號二樓,2022/11/13,2022/12/13,在職
蔬果手創花藝技能應用班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/11/13,2022/12/13,在職
製皂幸福之蘭陽特色花嫁小物實作班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/11/06,2022/12/06,在職
微型盆栽組合伴手禮商品製作班第01期,宜蘭縣宜蘭市黎明路326號,2022/11/04,2022/12/04,在職
異國特色料理實務班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/11/03,2022/12/03,在職
營建展場木作商品創作技能班第01期,宜蘭縣蘇澳鎮光明路8號,2022/11/03,2022/12/03,在職
辦桌宴客料理實作班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/10/31,2022/11/30,在職
手工皂暨保養品調製班第02期,宜蘭縣宜蘭市環河路111號4樓,2022/10/28,2022/11/27,在職
綠色植物系婚禮小物實作班第01期,宜蘭縣宜蘭市黎明二路239-1號,2022/10/24,2022/11/23,在職
民俗調理業傳統整復推拿實務班第01期,宜蘭縣宜蘭市環河路111號,2022/10/23,2022/11/22,在職
租賃住宅管理人員實務訓練班第01期,宜蘭縣宜蘭市宜興路３段67號二樓,2022/10/22,2022/11/21,在職
玉蘭藝術編織班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/10/22,2022/11/21,在職
AutoCAD電腦製圖設計班,宜蘭縣宜蘭市女中路3段62號7樓,2022/10/17,2022/11/16,在職
不動產營業員實務訓練班第11期,宜蘭縣宜蘭市宜興路３段67號二樓,2022/10/16,2022/11/15,在職
職業安全衛生管理員訓練班,宜蘭縣羅東鎮中山路２段123號,2022/10/12,2022/11/11,在職
勞動法令應用訓練班第02期,宜蘭縣宜蘭市神農路２段57巷15號,2022/10/06,2022/11/05,在職
流行蠟藝素材應用製作班,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/10/06,2022/11/05,在職
建築空間裝飾美學設計班,宜蘭縣宜蘭市陽明路131巷93號2樓之3,2022/10/02,2022/11/01,在職
日本語進階能力培訓班第01期,宜蘭縣宜蘭市女中路三段62號7樓,2022/10/02,2022/11/01,在職
創意美甲素材設計進階班,宜蘭縣宜蘭市中山路２段68巷12弄2號,2022/09/26,2022/10/26,在職
租賃住宅管理人員訓練班第01期,宜蘭縣宜蘭市宜興路３段67號二樓,2022/09/24,2022/10/24,在職
現代農村產業結合彩繪手創技能班第01期,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/09/23,2022/10/23,在職
月子餐調理班第02期,宜蘭縣五結鄉中正路２段7巷11號,2022/09/19,2022/10/19,在職
不動產營業員實務訓練班第10期,宜蘭縣宜蘭市宜興路３段67號二樓,2022/09/18,2022/10/18,在職
清潔皂品手創技能應用班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/09/18,2022/10/18,在職
蔬果手創皂品技能應用班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/09/18,2022/10/18,在職
皮革商品創作班第02期,宜蘭縣宜蘭市神農路2段57巷15號,2022/09/16,2022/10/16,在職
傳統整復推拿實務A班第08期,宜蘭縣羅東鎮民生路6號4樓,2022/09/16,2022/10/16,在職
展場木作品基礎創意技能應用班第01期,宜蘭縣蘇澳鎮光明路8號,2022/09/15,2022/10/15,在職
文創商品實作班,宜蘭縣宜蘭市中山路３段3號2樓,2022/09/15,2022/10/15,在職
傳統整復推拿A班第01期,宜蘭縣宜蘭市神農路１段1號,2022/09/15,2022/10/15,在職
傳統攤商轉型經營網路自媒體行銷班第02期,宜蘭縣宜蘭市宜興路３段67號2樓,2022/09/14,2022/10/14,在職
Photoshop影像美編應用班第02期,宜蘭縣五結鄉五結路二段370號,2022/09/12,2022/10/12,在職
花店商業技巧實作班第02期,宜蘭縣宜蘭市環河路111號4樓,2022/09/12,2022/10/11,在職
宜蘭藍染袋包商品製作班第01期,宜蘭縣宜蘭市黎明路326號,2022/09/07,2022/10/07,在職
建築景觀綠化與植物造景配置班第02期,宜蘭縣五結鄉五結路二段370號,2022/09/03,2022/10/03,在職
YouTuber與影音編修班第01期,宜蘭縣宜蘭市女中路三段62號7樓,2022/09/03,2022/10/03,在職
展場臻藏文創藝品與裁縫技術班第02期,宜蘭縣羅東鎮忠義巷80之2號,2022/08/27,2022/09/26,在職
果凍花烘焙小物創意蛋糕製作班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/08/26,2022/09/25,在職
甜手做DIY實作班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/08/25,2022/09/24,在職
生活家飾雅藝布漾臻藏設計班第02期,宜蘭縣五結鄉五結路2段370號,2022/08/22,2022/09/21,在職
天然手作皂技能培訓班第01期,宜蘭縣羅東鎮中山路二段506號,2022/08/21,2022/09/20,在職
多元結藝手創技能應用班第02期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/08/20,2022/09/19,在職
手作西點烘焙班第02期,宜蘭縣五結鄉中正路２段7巷11號,2022/08/19,2022/09/18,在職
蘭陽地方特色意象袋包商品製作班第01期,宜蘭縣宜蘭市黎明路326號,2022/08/19,2022/09/18,在職
皮革製版成型與裁切技巧實務班第02期,宜蘭縣五結鄉五結路二段370號,2022/08/16,2022/09/17,在職
手創編織商品應用班第02期,宜蘭縣五結鄉中正路２段7巷11號,2022/08/16,2022/09/15,在職
非金屬礦石首飾繩結編織班第02期,宜蘭縣宜蘭市環河路111號5樓,2022/08/14,2022/09/13,在職
不動產營業員實務訓練班第09期,宜蘭縣宜蘭市宜興路３段67號二樓,2022/08/14,2022/09/13,在職
化妝設計圖繪製班,宜蘭縣宜蘭市大坡路一段5號2F,2022/08/14,2022/09/13,在職
布製商品設計班,宜蘭縣宜蘭市女中路三段62號7樓,2022/08/13,2022/09/12,在職
中餐烹調實作班第02期,宜蘭縣宜蘭市環河路111號3樓,2022/08/09,2022/09/08,在職
飲料調製實務班第02期,宜蘭縣五結鄉中正路２段7巷11號,2022/08/09,2022/09/08,在職
服務與行銷創新管理碩士學分班第01期,宜蘭縣宜蘭市中山路三段257號5樓,2022/08/08,2022/09/07,在職
消費者行為碩士學分班第01期,宜蘭縣宜蘭市中山路三段257號5樓,2022/08/07,2022/09/06,在職
Line貼圖設計應用班第01期,宜蘭縣宜蘭市女中路三段62號7樓,2022/08/07,2022/09/06,在職
日本語基礎培訓班第01期,宜蘭縣宜蘭市女中路三段62號7樓,2022/08/06,2022/09/05,在職
創意商品及包裝特色製成班第02期,宜蘭縣五結鄉五結路二段370號,2022/08/05,2022/09/04,在職
童玩皮雕烙畫創意設計實作班第01期,宜蘭縣宜蘭市民權路２段231號1樓,2022/08/05,2022/09/04,在職
年輪藝術編織班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/08/04,2022/09/03,在職
親子童品創意設計製作班第01期,宜蘭縣宜蘭市民權路２段231號1樓,2022/08/04,2022/09/03,在職
工藝製版裁縫成型與針車技能班第02期,宜蘭縣五結鄉五結路2段370號,2022/08/02,2022/09/01,在職
中餐烹調實務班第02期,宜蘭縣五結鄉中正路２段7巷11號,2022/08/02,2022/09/01,在職
移動式起重機操作訓練班,宜蘭縣羅東鎮中山路２段123號,2022/08/02,2022/08/23,在職
啡嚐手拉中階實作班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/08/02,2022/08/23,在職
烘焙點心製作班第02期,宜蘭縣五結鄉中正路２段7巷11號,2022/07/31,2022/08/19,在職
甜點烘焙手作實作班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/07/30,2022/08/29,在職
堆高機操作訓練B班,宜蘭縣羅東鎮中山路2段123號,2022/07/30,2022/08/29,在職
建築空間客製化家俱美學佈置設計班第02期,宜蘭縣羅東鎮中華路189號,2022/07/30,2022/08/17,在職
多肉植物綠化創意實務應用班,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/07/30,2022/08/17,在職
固定式起重機-機上型操作訓練班,宜蘭縣羅東鎮中山路2段123號,2022/07/30,2022/08/16,在職
沙龍美甲初階應用班,宜蘭縣宜蘭市中山路２段68巷12弄2號,2022/07/29,2022/08/28,在職
布藝靚裝與巧裁完稿創作實務班第02期,宜蘭縣五結鄉五結路2段370號,2022/07/29,2022/08/28,在職
展場造景與蒔花弄草設計應用班第02期,宜蘭縣五結鄉五結路二段370號,2022/07/29,2022/08/15,在職
中餐烹調進階班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/07/29,2022/08/14,在職
天然素材手工皂配方與皂體製作班,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/07/28,2022/08/27,在職
西餐輕食料理班第02期,宜蘭縣五結鄉中正路２段7巷11號,2022/07/28,2022/08/27,在職
展場設置精工藝品與針車應用班第02期,宜蘭縣五結鄉五結路2段370號,2022/07/27,2022/08/13,在職
客製化傢飾品設計實務班第02期,宜蘭縣宜蘭市神農路２段57巷15號,2022/07/27,2022/08/13,在職
手作西點烘焙進階班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/07/27,2022/08/13,在職
農村民宿建築彩繪技能設計班第01期,宜蘭縣冬山鄉冬山路３段466號,2022/07/26,2022/08/14,在職
手工技藝實務班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/07/26,2022/08/09,在職
不動產營業員實務訓練班第08期,宜蘭縣宜蘭市宜興路３段67號二樓,2022/07/26,2022/08/09,在職
手工技藝實務班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/07/26,2022/08/09,在職
堆高機操作訓練A班,宜蘭縣羅東鎮中山路2段123號,2022/07/26,2022/08/09,在職
麵食點心烘焙訓練班第01期,宜蘭縣五結鄉國民南路5之15號,2022/07/26,2022/08/06,在職
園藝種子盆栽綠化與創意造景班第02期,宜蘭縣五結鄉五結路二段370號,2022/07/25,2022/08/06,在職
裝載機操作訓練班,宜蘭縣羅東鎮中山路２段123號,2022/07/25,2022/08/18,在職
節慶盆花設計實作班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/07/25,2022/08/02,在職
地方小吃烘焙訓練班第01期,宜蘭縣五結鄉國民南路5之15號,2022/07/25,2022/07/31,在職
文創手工藝品創作班 第01期,宜蘭縣,2022/07/20,2022/10/20,職前
中西烘焙伴手禮就業班 第02期,宜蘭縣,2022/07/06,2022/08/22,職前
手藝皮革藝術暨文創商品實作班 第01期,宜蘭縣,2022/07/01,2022/11/28,職前
傳統工藝新工法文創商品製作班 第02期,宜蘭縣,2022/07/01,2022/09/12,職前
泰雅部落輕旅露營場人才培訓班 第01期,宜蘭縣,2022/06/29,2022/12/26,職前
食在趣味創意烘焙培訓班 第01期,宜蘭縣,2022/06/28,2022/11/09,職前
經典美味手感烘焙培訓班 第01期,宜蘭縣,2022/06/28,2022/08/03,職前
新娘創意造型設計班 第01期,宜蘭縣,2022/06/28,2022/08/18,職前
多媒材商品設計網路行銷實務班 第01期,宜蘭縣,2022/06/23,2022/08/03,職前
綠意盆景設計實務培訓班 第01期,宜蘭縣,2022/06/23,2022/08/17,職前
異國風味創意精緻料理培訓班 第01期,宜蘭縣,2022/06/23,2022/10/03,職前
觀光工廠暨休閒農遊景點導覽解說班 第01期,宜蘭縣,2022/06/23,2022/09/27,職前
時尚美妝與指尖美學訓練班 第01期,宜蘭縣,2022/06/22,2022/08/31,職前
中式無國界料理美食技能培訓班 第02期,宜蘭縣,2022/06/22,2022/09/27,職前
百元快剪髮暨精緻編髮技能培訓班 第02期,宜蘭縣,2022/06/22,2022/11/22,職前
小農電商行銷班 第01期,宜蘭縣,2022/06/22,2022/12/22,職前
永續農遊領團人員班 第01期,宜蘭縣,2022/06/22,2022/09/05,職前
影音多媒體設計應用班 第01期,宜蘭縣,2022/06/21,2022/09/14,職前
企業數位轉型與雲端應用班 第01期,宜蘭縣,2022/06/20,2022/10/20,職前
室內裝修設計人才班 第01期,宜蘭縣,2022/06/20,2022/11/14,職前
實體辦公與遠距上班資訊人員培訓班 第02期,宜蘭縣,2022/06/16,2022/11/30,職前
綠能家電及空調水電裝配維修班 第02期,宜蘭縣,2022/06/13,2022/10/19,職前
造園景觀維護(產訓班)(宜蘭) 第02期,宜蘭縣,2022/06/10,2022/10/14,職前
室內水電基礎技術(宜蘭) 第02期,宜蘭縣,2022/05/31,2022/09/12,職前
室內配線(假日班)(宜蘭)第01期,宜蘭縣,2022/05/31,2022/08/14,在職
美睫嫁接6D開花技術進階班,宜蘭縣宜蘭市中山路２段68巷12弄2號,2022/05/27,2022/06/26,在職
展場木作品創意設計班第01期,宜蘭縣蘇澳鎮光明路8號,2022/05/26,2022/06/26,在職
客製化風格手作創意商品培訓班,宜蘭縣宜蘭市中山路３段3號2樓,2022/05/26,2022/06/25,在職
勞動法與人力資源管理實務應用訓練班第01期,宜蘭縣宜蘭市神農路2段57巷15號,2022/05/26,2022/06/25,在職
果凍花與蛋糕裱花藝術製作班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/05/20,2022/06/19,在職
水電(宜蘭) 第02期,宜蘭縣,2022/05/20,2022/09/01,職前
英文實用會話應用班第01期,宜蘭縣宜蘭市女中路三段62號7樓,2022/05/18,2022/06/17,在職
在地特色結婚伴手禮實作班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/05/17,2022/06/16,在職
新南向的國際企業經營策略碩士學分班第01期,宜蘭縣宜蘭市中山路三段257號5樓,2022/05/17,2022/06/02,在職
不動產營業員實務訓練班第05期,宜蘭縣宜蘭市宜蘭市宜興路三段67號二樓,2022/05/15,2022/06/14,在職
皮革商品創作班第01期,宜蘭縣宜蘭市神農路2段57巷15號,2022/05/13,2022/06/12,在職
造園景觀施作(宜蘭) 第01期,宜蘭縣,2022/05/13,2022/09/16,職前
美感生活初階蠟燭製作班,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/05/12,2022/06/11,在職
傳統攤商轉型經營網路自媒體行銷班,宜蘭縣宜蘭市宜興路３段67號2樓,2022/05/12,2022/06/11,在職
宜蘭縣托育人員 第01期,宜蘭縣,2022/05/10,2022/08/06,職前
巧手甜點烘焙實作班第01期,宜蘭縣宜蘭市環河路111號3樓,2022/05/09,2022/06/08,在職
布可思議生活藝術班第01期,宜蘭縣宜蘭市陽明二路130號8樓之1,2022/05/08,2022/06/07,在職
手調飲品實作班第01期,宜蘭縣宜蘭市環河路111號4樓,2022/05/07,2022/06/06,在職
清潔結合職場花藝設計應用班第01期,宜蘭縣冬山鄉冬山路３段466號1樓,2022/05/07,2022/06/07,在職
農村民宿建築彩繪技能班第01期,宜蘭縣冬山鄉冬山路３段466號,2022/05/06,2022/06/06,在職
造園景觀-住宅開放空間景觀設計施作(假日班)(宜蘭)第02期,宜蘭縣,2022/05/05,2022/09/18,在職
中餐素食料理班第01期,宜蘭縣五結鄉中正路２段7巷11號,2022/04/30,2022/05/30,在職
宜蘭縣照顧務員專班員山班 第01期,宜蘭縣,2022/04/18,2022/09/13,職前
奈米手工皂配方設計與皂體製作進階班第01期,宜蘭縣羅東鎮中山路二段506號,2022/04/10,2022/05/10,在職
倉儲物流人員訓練B班,宜蘭縣羅東鎮中山路２段１２３號,2022/04/10,2022/05/10,在職
