課程名稱,上課地點,開放報名,開課日期,性質
雲端OFFICE與手機APP工作術實務班(勞動學苑) 第04期,彰化縣,2021/08/30,2021/10/27,職前
綠色能源(風/光)系統設計建置及生活運用實務班第01期,彰化縣埤頭鄉文化路369號(明道大學校區),2021/06/03,2022/02/12,在職
綠色能源(風/光)系統設計建置及生活運用實務班,52345彰化縣埤頭鄉文化路369號(明道大學校區)(明道大學寒梅館(梅106)),2021/06/03,2021/11/27,在職
工業與機械產品繪圖實務班,彰化縣彰化市光復路129號,2021/05/10,2022/05/10,青年
AIoT人工智慧物聯網應用培訓班 第01期,彰化縣,2021/05/04,2021/09/24,職前
機械製圖設計應用實務班第02期,彰化縣彰化市中正路２段75號,2022/11/28,2022/12/28,在職
產品實體成型設計與3D列印打樣實務班第01期,彰化縣員林市靜修路55號,2022/11/15,2022/12/15,在職
數位影音剪輯與影像編修實務班第01期,彰化縣員林市靜修路55號,2022/11/12,2022/12/12,在職
平面美工排版設計與手機商品拍攝編修實務班 第-期,彰化縣,2022/11/07,2022/12/16,職前
日本語初級會話訓練班第02期,彰化縣彰化市卦山路五號,2022/11/06,2022/12/06,在職
辦公室行政文書軟體應用班第02期,彰化縣彰化市中正路２段75號,2022/11/06,2022/12/06,在職
FPGA晶片設計與AI應用工程師養成班第2期,彰化縣彰化市南郭路一段60號,2022/11/06,2022/12/08,青年
雲端電商行銷暨商品美編拍攝班 第-期,彰化縣,2022/11/04,2022/11/28,職前
手作烘焙與創意輕食行銷班 第-期,彰化縣,2022/11/03,2022/12/27,職前
手作茶點與精品咖啡行銷班 第01期,彰化縣,2022/11/03,2022/11/24,職前
精緻甜點烘焙培訓班 第-期,彰化縣,2022/11/01,2022/12/14,職前
實用英文會話實務班第02期,彰化縣彰化市民族路267號4樓,2022/11/01,2022/12/01,在職
歐式烘焙及舒活飲品實務班 第-期,彰化縣,2022/11/01,2022/12/20,職前
GOOGLE表單製作與辦公室文書資料整合應用實務班第02期,彰化縣員林市靜修路55號,2022/10/29,2022/11/29,在職
複合式輕食料理暨咖啡拉花培訓班 第-期,彰化縣,2022/10/27,2022/11/23,職前
微行銷影像編修設計實務班 第-期,彰化縣,2022/10/27,2022/12/27,職前
商務實用英語應用班第02期,彰化縣彰化市南郭路１段339號,2022/10/25,2022/11/25,在職
創意美編與廣告平面設計班第01期,彰化縣溪湖鎮西環路215號,2022/10/23,2022/11/23,在職
Blender 3D動畫展示與工業產品研發培訓班 第-期,彰化縣,2022/10/21,2022/12/28,職前
產品3D實體建構與2D圖面拆解實務班 第-期,彰化縣,2022/10/20,2022/12/28,職前
花式藝術美甲中國風浮雕時尚貼鑽彩繪應用班第01期,彰化縣員林市莒光路752號六樓,2022/10/18,2022/11/18,在職
營建業稅務暨房地合一實務班第02期,彰化縣彰化市民族路209號6樓,2022/10/17,2022/11/17,在職
數位轉型電商人才實作班第02期,彰化縣彰化市民族路209號6樓,2022/10/12,2022/11/12,在職
手機商品拍攝與影像後製編修實務班第01期,彰化縣員林市靜修路55號,2022/10/09,2022/11/09,在職
精品咖啡進階實作班第02期,彰化縣和美鎮東發路100巷36-1號二樓,2022/10/05,2022/11/05,在職
Photoshop+Illustrator平面影像設計實務班第01期,彰化縣彰化市中正路２段75號,2022/10/04,2022/11/04,在職
