課程名稱,上課地點,開放報名,開課日期,性質
居家綠能智慧水電應用實作初階班第01期,新竹市新竹市工業東二路1號2樓(2F-牛頓聽),2022/03/09,2022/04/09,在職
多元半導體產業人才養成班(第二梯次),新竹市大學路1001號 國立陽明交通大學科學三館,2022/01/01,2022/03/01,青年
機械智動化與3D列印工程師訓練班-第3期,新竹市民族路31號11樓,2021/11/30,2022/01/12,青年
智慧機械-Python深度學習程式訓練班,30043新竹市民族路31號11樓(雲端教室二),2021/11/11,2021/12/11,在職
AI跨領域數據科學人才培訓班(第二梯次),新竹市大學路1001號,2021/10/19,2022/03/08,青年
多元半導體產業人才養成班(第一梯次),新竹市大學路1001號 國立陽明交通大學科學三館,2021/10/01,2021/11/30,青年
智慧機械-SolidWorks智能組件應用進階班第01期,新竹市新竹市民族路31號11樓,2021/08/12,2022/02/13,在職
智慧機械-智慧自動化與邏輯電路設計應用班,30043新竹市新竹市民族路31號11樓(雲端教室一),2021/07/01,2021/08/01,在職
機械智動化與PLC自動控制培訓班 第01期,新竹市,2021/04/07,2021/09/06,職前
就業服務職能與勞資法令實務訓練班第01期,新竹市新竹市工業東二路1號4樓,2022/11/25,2022/12/25,在職
專利工程專業人才班第02期,新竹市新竹市光復路２段101號,2022/11/18,2022/12/18,在職
台灣AI行動計畫-人工智能PYTHON影像處理初級班第01期,新竹市新竹市民族路31號11樓,2022/11/14,2022/12/14,在職
系統化創新工具與手法班第01期,新竹市新竹市光復路二段350號5樓,2022/11/10,2022/12/10,在職
氣候變遷下永續發展的ESG班第02期,新竹市新竹市光復路２段101號,2022/11/10,2022/12/10,在職
新農業現代化創新農業管理班第05期,新竹市新竹市光復路２段101號,2022/11/07,2022/12/07,在職
商用日語會話基礎班第01期,新竹市新竹市光復路２段101號,2022/11/06,2022/12/06,在職
WordPress實務商用網站設計班第01期,新竹市新竹市民族路31號10樓,2022/11/04,2022/12/04,在職
AutoCAD 3D立體與實務班第01期,新竹市新竹市民族路31號11樓,2022/11/04,2022/12/04,在職
國際醫療器材法規與開發趨勢實務班第02期,新竹市新竹市光復路２段101號,2022/11/04,2022/12/04,在職
IPMA國際專案管理實務應用班第01期,新竹市新竹市南大路521號,2022/11/03,2022/12/03,在職
台灣AI行動計畫-Python程式設計基礎班第03期,新竹市新竹市民族路31號11樓,2022/11/01,2022/12/01,在職
芳香精油全身經絡保健實務班第02期,新竹市新竹市光華街91號5樓,2022/10/27,2022/11/27,在職
複合式輕食烘焙料理實作班第02期,新竹市新竹市田美三街2號,2022/10/25,2022/11/25,在職
電子商務視覺設計培訓班 第01期,新竹市,2022/10/25,2022/12/12,職前
韓式美睫職能創意實務班第01期,新竹市新竹市光華街91號5樓,2022/10/19,2022/11/19,在職
社群小編實務班第01期,新竹市新竹市中正路146號5樓,2022/10/19,2022/12/03,在職
台灣AI行動計畫-C程式設計班第01期,新竹市新竹市民族路31號10樓,2022/10/16,2022/11/28,在職
魅力新媒體YouTube影音訓練班第01期,新竹市新竹市民族路31號10樓,2022/10/15,2022/11/29,在職
雲端Google辦公室數位應用實務班第01期,新竹市新竹市北大路307號9樓之4,2022/10/08,2022/11/08,在職
產能需求規劃(CRP)與物料需求規劃(MRP)實務班第01期,新竹市新竹市光復路二段350號5樓,2022/10/06,2022/11/06,在職
台灣AI行動計畫-智慧機械-Python機器學習程式訓練班第01期,新竹市新竹市民族路31號11樓,2022/10/06,2022/11/20,在職
生管、物管技巧方法實務班第01期,新竹市新竹市光復路二段350號5樓,2022/10/05,2022/11/05,在職
文創商品開發暨illustrator設計行銷班第02期,新竹市新竹市中華路三段9號10樓之1,2022/10/05,2022/11/05,在職
食物製備料理訓練班第01期,新竹市新竹市田美三街2號5樓,2022/10/05,2022/11/05,在職
錫雕飾品實作班第02期,新竹市新竹市田美三街2號4樓,2022/10/05,2022/11/05,在職
氣候變遷下永續發展的ESG班第01期,新竹市新竹市光復路２段101號,2022/10/05,2022/11/05,在職
元宇宙概念PYTHON遊戲設計初級班第01期,新竹市新竹市民族路31號10樓,2022/10/03,2022/11/03,在職
台灣AI行動計畫-資料科學大數據網路爬蟲應用班第01期,新竹市新竹市民族路31號11樓,2022/10/02,2022/11/02,在職
訂製服裝打版製作班第02期,新竹市新竹市田美三街2號4樓,2022/09/30,2022/10/30,在職
魅力溝通與表達技巧實務班第01期,新竹市新竹市工業東二路1號2樓,2022/09/22,2022/10/22,在職
經絡調理手技與牛角輔具應用課程班第01期,新竹市新竹市田美三街2號四樓,2022/09/18,2022/10/18,在職
