課程名稱,上課地點,開放報名,開課日期,性質
智慧型手機維修人員培訓班,30286新竹縣竹北市十興路１段261號2樓(社團法人新竹縣專業技能教育協會教室),2021/10/27,2021/11/27,在職
PMP國際專案管理訓練班,30271新竹縣竹北市嘉豐七街145號四樓(新竹縣專業職能培訓人員職業工會-403教室),2021/10/07,2021/11/07,在職
新制多益英文聽力閱讀培訓班第01期,新竹縣竹北市中正東路213號1樓,2022/11/11,2022/12/11,在職
網路行銷經營管理實務班第02期,新竹縣竹北市中正東路213號1樓,2022/11/11,2022/12/11,在職
經絡養身舒壓保健班 第01期,新竹縣,2022/11/07,2022/12/19,職前
觀光旅遊基礎西班牙文班第01期,新竹縣竹北市中正東路213號2樓,2022/11/04,2022/12/04,在職
投資學實務應用班第03期,新竹縣竹北市嘉豐七街145號四樓,2022/11/03,2022/12/03,在職
Excel VBA巨集與網路爬蟲實務應用班第02期,新竹縣竹北市嘉豐七街145號4樓,2022/11/03,2022/12/03,在職
嬰幼兒撫觸與按摩班第02期,新竹縣竹北市中正東路213號1樓,2022/11/03,2022/12/03,在職
主管幹部提升管理與溝通能力訓練班第01期,新竹縣竹北市縣政八街77號1樓,2022/11/03,2022/12/03,在職
餅乾麵包烘焙實務班第04期,新竹縣湖口鄉中山路３段530號,2022/10/28,2022/11/27,在職
彩繪生活用品手作班第06期,新竹縣竹北市縣政八街77號3樓,2022/10/16,2022/11/16,在職
金融商品與投資工具操作實務班第01期,新竹縣竹北市中正東路213號1樓,2022/10/14,2022/11/14,在職
國際觀光導遊領隊實務班第01期,新竹縣竹北市中正東路213號2樓,2022/10/12,2022/11/12,在職
Excel Power BI大數據分析應用實務班第02期,新竹縣竹北市中正東路213號1樓,2022/10/12,2022/11/12,在職
精品咖啡製作訓練班第10期,新竹縣竹北市縣政八街77號1樓,2022/10/12,2022/11/12,在職
活用日本語N4養成班第01期,新竹縣竹北市勝利五路195號,2022/10/05,2022/11/05,在職
立體果凍花實作班第01期,新竹縣竹北市縣政八街77號1F,2022/09/29,2022/10/29,在職
烘焙技能研習班 第01期,新竹縣,2022/09/28,2022/11/10,職前
實用皮雕製作班第02期,新竹縣竹北市縣政八街77號二樓,2022/09/16,2022/10/16,在職
智慧型手機維修人員培訓班第01期,新竹縣竹北市十興路１段261號2樓,2022/09/16,2022/10/16,在職
網紅攝影美編修圖實務班第02期,新竹縣竹北市中正東路213號1樓,2022/09/16,2022/10/16,在職
西點麵包烘焙實務班第03期,新竹縣湖口鄉中山路３段530號,2022/09/15,2022/10/15,在職
中餐技能研習班 第01期,新竹縣,2022/09/15,2022/10/20,職前
國際貿易人才培訓班第01期,新竹縣竹北市縣政八街77號1樓,2022/09/14,2022/10/15,在職
FPGA晶片設計與AI應用工程師養成班第1期,新竹縣橫山鄉中華街200號,2022/09/10,2022/10/12,青年
宴客料理製作班第02期,新竹縣竹北市中正東路213號1樓,2022/09/05,2022/10/05,在職
勞動契約暨勞動法令實務班第02期,新竹縣竹北市十興路１段261號2樓,2022/09/04,2022/10/04,在職
Excel進階與Power BI巨量資料分析實務班第01期,新竹縣竹北市中正東路213號1樓,2022/09/03,2022/10/03,在職
傳統整復推拿班第01期,新竹縣竹北市縣政八街77號1樓,2022/09/02,2022/10/02,在職
創新思考心智圖法實務訓練班第01期,新竹縣竹北市縣政八街77號1樓,2022/09/01,2022/10/01,在職
特色民宿與創意料理人才培育班第01期,新竹縣芎林鄉大華路1號,2022/09/01,2022/10/01,在職
新制多益聽力閱讀訓練班第02期,新竹縣竹北市中正東路213號1樓,2022/08/29,2022/09/29,在職
電源連接器的載流設計及安規要求班第01期,新竹縣竹東鎮中興路四段195號78館2樓（工業技術研究院中興院區）,2022/08/27,2022/11/15,在職
服飾製作修改班第05期,新竹縣竹北市縣政八街77號,2022/08/25,2022/09/25,在職
