課程名稱,上課地點,開放報名,開課日期,性質
長夾製作班,花蓮縣吉安鄉東里一街156號,2022/11/11,2022/12/11,在職
皮雕實務應用班第01期,花蓮縣花蓮市富安路199號,2022/10/29,2022/11/28,在職
花藝設計創藝班,花蓮縣玉里鎮民權街50號,2022/10/21,2022/11/20,在職
產業新節能，綠能新技術-數位與3D應用專班,花蓮縣花蓮市公園路40-11號,2022/10/17,2022/10/31,青年
經典烘焙麵包進階班,花蓮縣花蓮市中福路84號,2022/10/14,2022/11/13,在職
陽宅風水訓練班第02期,花蓮縣玉里鎮中山路１段35號,2022/10/13,2022/11/12,在職
米麵食伴手禮製作班第01期,花蓮縣花蓮市國盛二街85號,2022/10/04,2022/11/03,在職
漢方渲染手工皂及清潔品班,花蓮縣吉安鄉東里一街156號,2022/09/30,2022/10/30,在職
新創意凝膠美甲班,花蓮縣吉安鄉東里一街156號,2022/09/17,2022/10/17,在職
金工玉石鑲嵌班,花蓮縣吉安鄉東里一街156號,2022/09/15,2022/10/15,在職
休閒精品包製作班,花蓮縣吉安鄉東里一街156號,2022/09/15,2022/10/15,在職
創意手作伴手禮烘培班第01期,花蓮縣花蓮市國盛二街85號,2022/09/12,2022/10/12,在職
廟宇解籤訓練班第02期,花蓮縣玉里鎮中山路１段35號,2022/09/12,2022/10/01,在職
烘焙蛋糕實務技能班第01期,花蓮縣花蓮市國盛二街85號,2022/08/23,2022/09/22,在職
國際數位行銷人才培訓班（平日班）,花蓮縣花蓮市建國路二段880號,2022/08/22,2022/10/26,青年
寵物美容技能班第01期,花蓮縣花蓮市國盛二街85號,2022/08/21,2022/09/20,在職
皮件文創商品製作班第01期,花蓮縣花蓮市國盛二街85號,2022/08/17,2022/09/16,在職
後背包製作班,花蓮縣吉安鄉東里一街156號,2022/08/17,2022/09/16,在職
智慧無人機應用實務班,花蓮縣花蓮市華西路123號,2022/08/17,2022/09/18,在職
手提包製作班,花蓮縣玉里鎮民權街50號,2022/08/16,2022/09/17,在職
創意烘焙點心實作班,花蓮縣花蓮市中福路84號,2022/08/02,2022/09/01,在職
皮雕創作應用班第01期,花蓮縣花蓮市富安路199號,2022/08/02,2022/08/22,在職
創意早午餐實務技能班第01期,花蓮縣花蓮市國盛二街85號,2022/07/30,2022/08/29,在職
精緻伴手禮烘焙實作班,花蓮縣花蓮市中福路84號,2022/07/28,2022/08/27,在職
烘焙西點蛋糕麵包進階班第01期,花蓮縣花蓮市國盛二街85號,2022/07/27,2022/08/26,在職
腳底按摩調理員課程班,花蓮縣花蓮市富安路199號,2022/07/27,2022/08/26,在職
浪漫節慶花禮設計班,花蓮縣吉安鄉東里一街156號,2022/07/27,2022/08/13,在職
手提包製作班,花蓮縣吉安鄉東里一街156號,2022/07/26,2022/08/07,在職
111年度補助辦理照顧服務員專班訓練 第05期,花蓮縣,2022/07/20,2022/08/12,職前
電腦美工視覺設計培訓班 第01期,花蓮縣,2022/07/20,2022/10/14,職前
袖珍工房職人培訓班 第01期,花蓮縣,2022/07/15,2022/09/14,職前
室內設計電腦繪圖(假日班)(花蓮)第01期,花蓮縣,2022/07/15,2022/10/16,在職
新秘美學造型飾品培訓班 第01期,花蓮縣,2022/07/14,2022/09/12,職前
藝術美甲髮藝整體人才培訓班 第01期,花蓮縣,2022/07/05,2022/10/03,職前
手機微電影與網紅達人培訓班 第01期,花蓮縣,2022/07/01,2022/11/24,職前
指甲彩繪師培訓班 第01期,花蓮縣,2022/07/01,2022/10/11,職前
原民特色工藝人才培訓班 第01期,花蓮縣,2022/07/01,2022/10/17,職前
地方特色伴手禮暨行銷人才培訓班 第01期,花蓮縣,2022/07/01,2022/09/05,職前
網紅團購烘焙製作班 第01期,花蓮縣,2022/07/01,2022/08/25,職前
養生料理及中西式麵點培訓班 第01期,花蓮縣,2022/07/01,2022/08/01,職前
花蓮農家人培訓班 第01期,花蓮縣,2022/06/30,2022/10/13,職前
銀髮族旅遊規劃暨導覽人員培訓班 第01期,花蓮縣,2022/06/29,2022/08/29,職前
電腦硬體裝修暨網路架設培訓班 第01期,花蓮縣,2022/06/24,2022/09/22,職前
泥水鋪面班 第01期,花蓮縣,2022/06/24,2022/10/17,職前
砌磚鋪面實務班 第01期,花蓮縣,2022/06/24,2022/08/22,職前
咖啡後製加工暨微型創業班 第01期,花蓮縣,2022/06/23,2022/09/01,職前
木製家具翻新養護班 第01期,花蓮縣,2022/06/16,2022/10/20,職前
模板泥水技術工培訓班 第02期,花蓮縣,2022/06/14,2022/07/25,職前
金工進階(花蓮)第01期,花蓮縣,2022/06/10,2022/09/13,在職
醫生包設計應用班,花蓮縣玉里鎮民權街50號,2022/05/26,2022/06/25,在職
室內配線(假日班)(花蓮)第01期,花蓮縣,2022/05/23,2022/08/21,在職
皮雕實務應用班第01期,花蓮縣花蓮市富安路199號,2022/05/22,2022/06/21,在職
殯葬科儀訓練班第01期,花蓮縣玉里鎮中山路１段35號,2022/05/13,2022/06/12,在職
復古醫生包設計應用班,花蓮縣吉安鄉東里一街156號,2022/05/13,2022/06/12,在職
時尚創意甜點烘焙班,花蓮縣花蓮市中福路84號,2022/05/12,2022/06/11,在職
民宿經營管理-管家實務(產訓班)(花蓮) 第02期,花蓮縣,2022/05/10,2022/07/25,職前
全方位數位影音設計培訓班 第01期,花蓮縣,2022/05/06,2022/07/21,職前
花蓮縣照顧服務員專班 第7期,花蓮縣,2022/05/01,2022/09/12,職前
文創伴手禮設計製作暨行銷推廣班 第01期,花蓮縣,2022/04/29,2022/08/01,職前
整體造型美學設計班 第01期,花蓮縣,2022/04/28,2022/07/19,職前
全方位美容美顏造型培訓班 第01期,花蓮縣,2022/04/28,2022/06/27,職前
養生調理餐飲製作班 第01期,花蓮縣,2022/04/26,2022/06/07,職前
創意飲料與輕食料理製作班 第01期,花蓮縣,2022/04/26,2022/07/06,職前
創意多媒體網頁設計應用班 第01期,花蓮縣,2022/04/25,2022/05/13,職前
休閒農業從業人員培訓暨農產品加工應用班 第01期,花蓮縣,2022/04/25,2022/06/06,職前
皮革巧雕應用班第01期,花蓮縣花蓮市富安路199號,2022/04/23,2022/05/23,在職
養生故事咖啡館人員培訓班【高齡專班】 第01期,花蓮縣,2022/04/22,2022/09/26,職前
天然潔膚抗敏手工皂應用班,花蓮縣吉安鄉東里一街156號,2022/04/21,2022/05/21,在職
創意手作伴手禮烘培班第01期,花蓮縣花蓮市國盛二街85號,2022/04/19,2022/05/19,在職
創意早午餐實務技能班第01期,花蓮縣花蓮市國盛二街85號,2022/04/16,2022/05/16,在職
照顧服務員門諾專班 第04期,花蓮縣,2022/04/07,2022/09/19,職前
烘焙西點麵包餅乾製作進階班第01期,花蓮縣花蓮市國盛二街85號,2022/04/06,2022/05/06,在職
水電實務(花蓮) 第01期,花蓮縣,2022/03/25,2022/06/24,職前
咖啡技能實作進階班第01期,花蓮縣花蓮市國盛二街85號,2022/03/23,2022/04/22,在職
八字分析推理班第01期,花蓮縣玉里鎮中山路１段35號,2022/03/21,2022/04/23,在職
花蓮縣照顧服務員專班 第03期,花蓮縣,2022/03/17,2022/08/12,職前
111年度補助辦理照顧服務員專班訓練 第01期,花蓮縣,2022/03/14,2022/04/06,職前
午茶烘焙手作班第01期,花蓮縣花蓮市國盛二街85號,2022/03/13,2022/04/12,在職
經典烘焙麵包手作班,花蓮縣花蓮市中福路84號,2022/03/11,2022/04/10,在職
烘焙麵包實務技能班第01期,花蓮縣花蓮市國盛二街85號,2022/03/11,2022/04/10,在職
仕女鍾愛手提包製作班,花蓮縣吉安鄉東里一街156號,2022/03/11,2022/04/10,在職
中式傳統伴手禮製作班第01期,花蓮縣花蓮市國盛二街85號,2022/03/09,2022/04/08,在職
寶飾金工製作(花蓮) 第01期,花蓮縣,2022/03/09,2022/07/11,職前
皮雕創意設計班第01期,花蓮縣花蓮市富安路199號,2022/03/07,2022/04/06,在職
室內裝修設計(花蓮) 第02期,花蓮縣,2022/03/04,2022/07/07,職前
食物製備烹調技能班第01期,花蓮縣花蓮市國盛二街85號,2022/02/26,2022/03/28,在職
飲料調製實務技能班第01期,花蓮縣花蓮市國盛二街85號,2022/02/23,2022/03/25,在職
