課程名稱,上課地點,開放報名,開課日期,性質
Power BI大數據分析與商業決策應用班第01期,高雄市三民區博愛一路391號3F-1,2022/01/13,2022/02/13,在職
行動商務系統設計與開發 第01期,高雄市,2021/12/27,2022/03/29,職前
皮革氣墊涼鞋設計實作班,80660高雄市前鎮區中山三路132號(獅甲會館R7創藝所在1樓教室),2021/11/26,2021/12/26,在職
綜合銲接 第01期,高雄市,2021/11/08,2022/01/18,職前
網拍多媒體行銷 第01期,高雄市,2021/11/08,2022/01/18,職前
Python機器學習與資料分析班,80660高雄市前鎮區中山二路2號25樓之5(第一教室10701),2021/11/01,2021/12/01,在職
APMA美國國際專案管理師培訓班,80274高雄市苓雅區中正二路175號13樓之3 高雄信義館K133(台灣文創訓練中心-K133),2021/10/28,2021/11/27,在職
互動式網站JavaScript開發設計與雲端資料庫實務班第01期,高雄市三民區中山一路318號,2021/10/17,2022/01/19,在職
生技暨3D列印跨域人才培訓班,高雄市三民區十全一路100號,2021/10/16,2021/12/25,青年
離岸風電暨水下工程證照就業輔導班第三梯次,高雄市楠梓區海專路142號,2021/10/06,2021/12/16,青年
電腦動畫人才培訓班第四梯次,高雄市苓雅區三多一路186號,2021/10/01,2021/12/20,青年
國際銲接技師培訓專班第一梯,高雄市楠梓區高楠公路1001號,2021/09/30,2021/12/01,青年
大數據資料庫與網路爬蟲資料分析整合運用班第01期,高雄市三民區中山一路318號3樓電腦教室,2021/09/23,2022/01/05,在職
網路管理與通信技術整合實務 第02期,高雄市,2021/09/13,2021/11/16,職前
離岸風電海事工程就業輔導班第六梯次,高雄市茄萣區正大路500號( 海洋科技產業創新專區),2021/09/01,2021/11/02,青年
Angular開發入門與應用實務第01期,高雄市,2021/09/01,2021/10/26,在職
人工智慧機器學習與深度學習實作應用班,80147高雄市前金區中正四路211號8樓之1(801華國金融大樓8樓801教室),2021/08/25,2021/09/25,在職
網路架設技術與5G通訊物聯網實務培訓班,82445高雄市燕巢區橫山路59號-圖資大樓6樓L0632(樹德科技大學-圖資大樓六樓L0632),2021/08/25,2021/09/25,在職
AWS 雲端技術應用實務班,80147高雄市前金區中正四路211號8樓之1(804華國金融大樓8樓804教室),2021/08/25,2021/09/25,在職
FDM型3D列印機DIY組裝開發實務班,80660高雄市前鎮區中山三路132號2樓 (塑膠中心)(R73D我形我塑積層製造應用及打樣中心),2021/08/25,2021/09/25,在職
雲世代數據應用分析暨數位智能服務設計人才培育班A,高雄市楠梓區卓越路2號,2021/08/06,2021/10/12,青年
雲端Docker容器技術班,80147高雄市前金區中正四路211號8樓之1(804華國金融大樓8樓804教室),2021/08/04,2021/09/04,在職
Power BI大數據與資料庫分析應用實務班,80750高雄市三民區中山一路318號3樓電腦教室(北訓電腦附設職訓中心電腦教室),2021/07/29,2021/10/23,在職
離岸風電海事工程就業輔導班第五梯次,高雄市茄萣區正大路500號( 海洋科技產業創新專區),2021/07/26,2021/09/22,青年
太陽光電系統工程管理班,81365高雄市左營區政德路595號2樓(政德訓練教室),2021/07/07,2021/08/07,在職
AIoT物聯網智能控制應用設計班 第01期,高雄市,2021/07/05,2021/10/13,職前
沉浸式遊戲與XR應用實戰人才培訓班第二梯次,高雄市楠梓區國立高雄大學圖資大樓AVR+ School（地址：811大學路700號）,2021/06/01,2021/08/02,青年
離岸風電暨水下工程證照就業輔導班第二梯次,高雄市楠梓區海專路142號,2021/06/01,2021/09/06,青年
PYTHON資料科學應用班,80743高雄市三民區博愛一路287號9樓(創造教室),2021/05/27,2021/09/25,在職
太陽光電儲能系統實務應用班,81365高雄市左營區政德路595號2樓(政德訓練教室),2021/05/26,2021/09/25,在職
Python大數據與股票金融科技應用第二梯次,高雄市苓雅區成功一路232號,2021/04/27,2021/08/03,青年
物聯網智慧資訊系統整合設計實務,高雄市大寮區至學路288號,2021/04/01,2021/12/13,青年
5G產業市場應用與AIOT關鍵技術人才培育班A,高雄市楠梓區卓越路2號,2021/03/01,2021/06/29,青年
雲世代數據應用分析暨數位智能服務設計人才培育班B,高雄市楠梓區卓越路2號,2021/03/01,2021/06/30,青年
ERP企業管理與大數據分析實務班 第01期,高雄市,2021/02/28,2021/08/11,職前
